time_step,month,day_type,hour,minutes,passengers_from_trains_15min,background_pedestrians_15min,passengers_expected_15min,people_detected,arriving_trains,departing_trains,minutes_to_next_train,available
182,1,4,22,30,21.8000,16.7900,38.5900,1,2,2,1,1
183,1,4,22,45,26.4000,21.4500,47.8500,1,1,1,3,1
184,1,4,23,0,23.3000,14.5000,37.8000,1,1,1,12,1
185,1,4,23,15,91.0000,16.6100,107.6100,1,1,1,7,1
186,1,4,23,30,24.2000,16.0600,40.2600,1,4,4,1,1
187,1,4,23,45,0.0000,14.8400,14.8400,1,1,1,2,1
188,1,4,24,0,49.8000,7.8600,57.6600,1,0,0,22,1
189,1,4,24,15,78.9000,6.9500,85.8500,1,2,2,7,1
190,1,4,24,30,71.8000,8.4000,80.2000,1,3,3,1,1
191,1,4,24,45,0.0000,10.1600,10.1600,1,3,3,3,1
192,1,5,1,0,21.7000,5.1600,26.8600,1,0,0,17,1
193,1,5,1,15,0.0000,4.0700,4.0700,1,1,1,2,1
194,1,5,1,30,0.0000,5.1300,5.1300,1,0,0,33,1
195,1,5,1,45,52.5000,5.2900,57.7900,1,0,0,18,1
196,1,5,2,0,0.0000,0.8700,0.8700,1,2,2,3,1
197,1,5,2,15,0.0000,1.0200,1.0200,1,0,0,240,1
198,1,5,2,30,0.0000,1.0100,1.0100,1,0,0,232,1
199,1,5,2,45,0.0000,0.8300,0.8300,1,0,0,217,1
200,1,5,3,0,0.0000,0.0000,0.0000,0,0,0,202,1
201,1,5,3,15,0.0000,0.0000,0.0000,0,0,0,187,1
202,1,5,3,30,0.0000,0.0000,0.0000,0,0,0,172,1
203,1,5,3,45,0.0000,0.0000,0.0000,0,0,0,157,1
204,1,5,4,0,0.0000,0.0000,0.0000,0,0,0,142,1
205,1,5,4,15,0.0000,0.0000,0.0000,0,0,0,127,1
206,1,5,4,30,0.0000,0.0000,0.0000,0,0,0,112,1
207,1,5,4,45,0.0000,0.0000,0.0000,0,0,0,97,1
208,1,5,5,0,0.0000,0.0000,0.0000,0,0,0,82,1
209,1,5,5,15,0.0000,0.0000,0.0000,0,0,0,67,1
210,1,5,5,30,0.0000,0.0000,0.0000,0,0,0,52,1
211,1,5,5,45,0.0000,0.0000,0.0000,0,0,0,37,1
212,1,5,6,0,58.6000,14.2900,72.8900,1,0,0,22,1
213,1,5,6,15,0.0000,13.7200,13.7200,1,2,2,7,1
214,1,5,6,30,28.6000,11.9100,40.5100,1,0,0,18,1
215,1,5,6,45,25.8000,13.9200,39.7200,1,1,1,3,1
216,1,5,7,0,78.2000,19.8900,98.0900,1,1,1,12,1
217,1,5,7,15,102.7000,21.7000,124.4000,1,2,2,6,1
218,1,5,7,30,174.8000,20.8600,195.6600,1,3,3,3,1
219,1,5,7,45,33.4000,22.7800,56.1800,1,5,5,2,1
220,1,5,8,0,116.4000,50.5200,166.9200,1,1,1,12,1
221,1,5,8,15,150.7000,27.0000,177.7000,1,3,3,3,1
222,1,5,8,30,159.0000,41.3600,200.3600,1,4,4,4,1
223,1,5,8,45,109.5000,28.4300,137.9300,1,5,5,3,1
224,1,5,9,0,97.1000,39.4900,136.5900,1,3,3,2,1
225,1,5,9,15,145.4000,49.4400,194.8400,1,3,3,2,1
226,1,5,9,30,153.3000,42.9100,196.2100,1,4,4,4,1
227,1,5,9,45,74.3000,35.6300,109.9300,1,4,4,3,1
228,1,5,10,0,106.8000,29.0100,135.8100,1,2,2,7,1
229,1,5,10,15,106.6000,35.8100,142.4100,1,3,3,2,1
230,1,5,10,30,64.4000,28.9400,93.3400,1,3,3,7,1
231,1,5,10,45,66.9000,33.5600,100.4600,1,2,2,2,1
232,1,5,11,0,28.5000,27.6900,56.1900,1,2,2,7,1
233,1,5,11,15,93.3000,24.8100,118.1100,1,1,1,12,1
234,1,5,11,30,93.9000,36.3400,130.2400,1,3,3,9,1
235,1,5,11,45,58.3000,30.1100,88.4100,1,3,3,7,1
236,1,5,12,0,63.6000,19.1500,82.7500,1,2,2,4,1
237,1,5,12,15,63.6000,28.2700,91.8700,1,2,2,3,1
238,1,5,12,30,32.0000,24.7700,56.7700,1,2,2,9,1
239,1,5,12,45,57.4000,31.0200,88.4200,1,1,1,8,1
240,1,5,13,0,69.8000,26.4300,96.2300,1,2,2,2,1
241,1,5,13,15,130.4000,29.4800,159.8800,1,2,2,3,1
242,1,5,13,30,106.7000,32.2700,138.9700,1,4,4,4,1
243,1,5,13,45,32.4000,33.9000,66.3000,1,3,3,2,1
244,1,5,14,0,108.9000,24.6000,133.5000,1,1,1,4,1
245,1,5,14,15,32.6000,28.4900,61.0900,1,3,3,1,1
246,1,5,14,30,122.6000,27.8600,150.4600,1,1,1,12,1
247,1,5,14,45,63.5000,27.0600,90.5600,1,4,4,2,1
248,1,5,15,0,59.6000,34.7800,94.3800,1,2,2,2,1
249,1,5,15,15,94.3000,29.1700,123.4700,1,2,2,3,1
250,1,5,15,30,62.2000,22.3000,84.5000,1,3,3,9,1
251,1,5,15,45,25.6000,31.2900,56.8900,1,2,2,2,1
252,1,5,16,0,84.2000,36.2500,120.4500,1,1,1,4,1
253,1,5,16,15,30.9000,31.7600,62.6600,1,3,3,1,1
254,1,5,16,30,29.0000,21.2300,50.2300,1,1,1,12,1
255,1,5,16,45,63.9000,25.5000,89.4000,1,1,1,3,1
256,1,5,17,0,59.7000,41.6500,101.3500,1,2,2,2,1
257,1,5,17,15,93.6300,31.2800,124.9100,1,2,2,3,1
258,1,5,17,30,60.0000,37.3300,97.3300,1,3,3,4,1
259,1,5,17,45,25.4000,39.0700,64.4700,1,2,2,2,1
260,1,5,18,0,112.7000,36.5900,149.2900,1,1,1,9,1
261,1,5,18,15,108.7300,42.1200,150.8500,1,3,3,2,1
262,1,5,18,30,104.7000,21.8400,126.5400,1,3,3,4,1
263,1,5,18,45,151.1000,35.9700,187.0700,1,3,3,3,1
264,1,5,19,0,33.4000,43.3000,76.7000,1,4,4,4,1
265,1,5,19,15,179.3000,36.5800,215.8800,1,1,1,4,1
266,1,5,19,30,103.6000,56.0200,159.6200,1,5,5,4,1
267,1,5,19,45,118.8000,35.3500,154.1500,1,3,3,3,1
268,1,5,20,0,60.3000,35.0200,95.3200,1,3,3,6,1
269,1,5,20,15,163.1000,38.2400,201.3400,1,2,2,3,1
270,1,5,20,30,68.2000,45.6100,113.8100,1,5,5,2,1
271,1,5,20,45,63.6000,29.4200,93.0200,1,2,2,3,1
272,1,5,21,0,87.0000,32.3000,119.3000,1,2,2,4,1
273,1,5,21,15,80.7000,27.5400,108.2400,1,3,3,3,1
274,1,5,21,30,49.5000,23.4500,72.9500,1,3,3,7,1
275,1,5,21,45,26.6000,29.4100,56.0100,1,2,2,2,1
276,1,5,22,0,52.3000,20.6000,72.9000,1,1,1,12,1
277,1,5,22,15,56.5000,18.2000,74.7000,1,2,2,5,1
278,1,5,22,30,30.3000,20.2100,50.5100,1,2,2,1,1
279,1,5,22,45,27.6000,18.8400,46.4400,1,1,1,3,1
280,1,5,23,0,24.6000,15.2600,39.8600,1,1,1,12,1
281,1,5,23,15,100.0000,16.4900,116.4900,1,1,1,7,1
282,1,5,23,30,24.9000,18.5700,43.4700,1,4,4,1,1
283,1,5,23,45,0.0000,12.2100,12.2100,1,1,1,2,1
284,1,5,24,0,50.9000,11.8800,62.7800,1,0,0,22,1
285,1,5,24,15,77.9000,6.3600,84.2600,1,2,2,7,1
286,1,5,24,30,75.3000,8.8000,84.1000,1,3,3,1,1
287,1,5,24,45,0.0000,9.7900,9.7900,1,3,3,3,1
288,1,6,1,0,21.6000,3.9100,25.5100,1,0,0,17,1
289,1,6,1,15,0.0000,3.4000,3.4000,1,1,1,2,1
290,1,6,1,30,0.0000,3.6300,3.6300,1,0,0,33,1
291,1,6,1,45,41.3000,3.4700,44.7700,1,0,0,18,1
292,1,6,2,0,0.0000,0.6800,0.6800,1,2,2,3,1
293,1,6,2,15,0.0000,0.8500,0.8500,1,0,0,240,1
294,1,6,2,30,0.0000,0.7900,0.7900,1,0,0,232,1
295,1,6,2,45,0.0000,0.6700,0.6700,1,0,0,217,1
296,1,6,3,0,0.0000,0.0000,0.0000,0,0,0,202,1
297,1,6,3,15,0.0000,0.0000,0.0000,0,0,0,187,1
298,1,6,3,30,0.0000,0.0000,0.0000,0,0,0,172,1
299,1,6,3,45,0.0000,0.0000,0.0000,0,0,0,157,1
300,1,6,4,0,0.0000,0.0000,0.0000,0,0,0,142,1
301,1,6,4,15,0.0000,0.0000,0.0000,0,0,0,127,1
302,1,6,4,30,0.0000,0.0000,0.0000,0,0,0,112,1
303,1,6,4,45,0.0000,0.0000,0.0000,0,0,0,97,1
304,1,6,5,0,0.0000,0.0000,0.0000,0,0,0,82,1
305,1,6,5,15,0.0000,0.0000,0.0000,0,0,0,67,1
306,1,6,5,30,0.0000,0.0000,0.0000,0,0,0,52,1
307,1,6,5,45,0.0000,0.0000,0.0000,0,0,0,37,1
308,1,6,6,0,54.7000,10.1400,64.8400,1,0,0,22,1
309,1,6,6,15,0.0000,9.0900,9.0900,1,2,2,7,1
310,1,6,6,30,22.0000,9.0700,31.0700,1,0,0,18,1
311,1,6,6,45,0.0000,10.9200,10.9200,1,1,1,3,1
312,1,6,7,0,28.7000,18.9600,47.6600,1,0,0,21,1
313,1,6,7,15,29.6000,18.9300,48.5300,1,1,1,6,1
314,1,6,7,30,27.6000,20.1800,47.7800,1,1,1,3,1
315,1,6,7,45,27.7000,16.9300,44.6300,1,1,1,3,1
316,1,6,8,0,57.1000,31.0000,88.1000,1,1,1,12,1
317,1,6,8,15,85.7000,26.8200,112.5200,1,2,2,8,1
318,1,6,8,30,90.8000,29.4900,120.2900,1,3,3,4,1
319,1,6,8,45,59.6000,27.5800,87.1800,1,3,3,2,1
320,1,6,9,0,27.7000,32.3400,60.0400,1,2,2,7,1
321,1,6,9,15,87.8000,34.7200,122.5200,1,1,1,6,1
322,1,6,9,30,54.8000,27.9600,82.7600,1,3,3,4,1
323,1,6,9,45,31.1000,41.8800,72.9800,1,2,2,8,1
324,1,6,10,0,55.5000,20.7000,76.2000,1,1,1,9,1
325,1,6,10,15,27.2000,19.9400,47.1400,1,2,2,2,1
326,1,6,10,30,58.4000,28.6100,87.0100,1,1,1,7,1
327,1,6,10,45,32.3000,27.2700,59.5700,1,2,2,2,1
328,1,6,11,0,25.7000,22.5600,48.2600,1,1,1,7,1
329,1,6,11,15,44.8000,22.5700,67.3700,1,1,1,12,1
330,1,6,11,30,82.8000,20.5900,103.3900,1,2,2,9,1
331,1,6,11,45,49.4000,17.8500,67.2500,1,3,3,7,1
332,1,6,12,0,27.7000,20.8600,48.5600,1,2,2,4,1
333,1,6,12,15,32.2000,18.5300,50.7300,1,1,1,11,1
334,1,6,12,30,30.4000,23.6400,54.0400,1,1,1,9,1
335,1,6,12,45,52.9000,20.1700,73.0700,1,1,1,8,1
336,1,6,13,0,26.1000,19.7100,45.8100,1,2,2,4,1
337,1,6,13,15,55.6000,21.4200,77.0200,1,1,1,12,1
338,1,6,13,30,80.6000,23.8900,104.4900,1,2,2,9,1
339,1,6,13,45,0.0000,20.6000,20.6000,1,3,3,2,1
340,1,6,14,0,55.6000,19.7300,75.3300,1,0,0,16,1
341,1,6,14,15,0.0000,23.3200,23.3200,1,2,2,1,1
342,1,6,14,30,52.7000,23.3300,76.0300,1,0,0,17,1
343,1,6,14,45,53.1000,20.7900,73.8900,1,2,2,2,1
344,1,6,15,0,26.3000,19.1700,45.4700,1,2,2,4,1
345,1,6,15,15,52.1000,21.3400,73.4400,1,1,1,11,1
346,1,6,15,30,55.2000,16.1400,71.3400,1,2,2,9,1
347,1,6,15,45,24.8000,16.2700,41.0700,1,2,2,2,1
348,1,6,16,0,48.4000,18.4000,66.8000,1,1,1,4,1
349,1,6,16,15,0.0000,19.9600,19.9600,1,2,2,1,1
350,1,6,16,30,26.0000,21.5900,47.5900,1,0,0,18,1
351,1,6,16,45,50.3000,25.1900,75.4900,1,1,1,3,1
352,1,6,17,0,25.9000,29.6300,55.5300,1,2,2,4,1
353,1,6,17,15,51.4700,25.6200,77.0900,1,1,1,11,1
354,1,6,17,30,57.6000,26.1800,83.7800,1,2,2,4,1
355,1,6,17,45,24.9000,22.3000,47.2000,1,2,2,2,1
356,1,6,18,0,55.0000,31.7900,86.7900,1,1,1,9,1
357,1,6,18,15,0.0000,30.4900,30.4900,1,2,2,2,1
358,1,6,18,30,32.3000,33.4200,65.7200,1,0,0,18,1
359,1,6,18,45,56.2000,27.9200,84.1200,1,1,1,3,1
360,1,6,19,0,27.3000,36.3800,63.6800,1,2,2,4,1
361,1,6,19,15,55.9300,41.5100,97.4400,1,1,1,4,1
362,1,6,19,30,47.4000,33.2000,80.6000,1,2,2,7,1
363,1,6,19,45,58.7000,35.7800,94.4800,1,2,2,3,1
364,1,6,20,0,29.5000,31.0400,60.5400,1,2,2,6,1
365,1,6,20,15,106.3000,26.4300,132.7300,1,1,1,3,1
366,1,6,20,30,23.4000,29.0700,52.4700,1,4,4,2,1
367,1,6,20,45,32.7000,28.1800,60.8800,1,1,1,3,1
368,1,6,21,0,24.8000,20.9300,45.7300,1,1,1,6,1
369,1,6,21,15,43.3000,18.2300,61.5300,1,1,1,6,1
370,1,6,21,30,81.7000,20.7000,102.4000,1,2,2,9,1
371,1,6,21,45,25.9000,22.1700,48.0700,1,3,3,2,1
372,1,6,22,0,53.4000,18.2700,71.6700,1,1,1,12,1
373,1,6,22,15,55.1000,17.1600,72.2600,1,2,2,5,1
374,1,6,22,30,25.5000,19.8400,45.3400,1,2,2,9,1
375,1,6,22,45,45.4000,13.2700,58.6700,1,1,1,3,1
376,1,6,23,0,0.0000,12.7200,12.7200,1,2,2,4,1
377,1,6,23,15,68.8000,11.5600,80.3600,1,0,0,16,1
378,1,6,23,30,42.8000,14.9500,57.7500,1,3,3,1,1
379,1,6,23,45,0.0000,9.8900,9.8900,1,2,2,2,1
380,1,6,24,0,24.5000,5.9000,30.4000,1,0,0,22,1
381,1,6,24,15,69.2000,6.1400,75.3400,1,1,1,7,1
382,1,6,24,30,49.1000,4.6000,53.7000,1,3,3,1,1
383,1,6,24,45,0.0000,6.2200,6.2200,1,2,2,3,1
384,1,7,1,0,22.7000,2.4400,25.1400,1,0,0,17,1
385,1,7,1,15,0.0000,2.8100,2.8100,1,1,1,2,1
386,1,7,1,30,0.0000,2.8900,2.8900,1,0,0,33,1
387,1,7,1,45,47.7000,3.5200,51.2200,1,0,0,18,1
388,1,7,2,0,0.0000,0.6300,0.6300,1,2,2,3,1
389,1,7,2,15,0.0000,0.5000,0.5000,0,0,0,240,1
390,1,7,2,30,0.0000,0.4800,0.4800,0,0,0,232,1
391,1,7,2,45,0.0000,0.5900,0.5900,1,0,0,217,1
392,1,7,3,0,0.0000,0.0000,0.0000,0,0,0,202,1
393,1,7,3,15,0.0000,0.0000,0.0000,0,0,0,187,1
394,1,7,3,30,0.0000,0.0000,0.0000,0,0,0,172,1
