numero,categoria,observacao_codigo,hora_ermesinde,linha,sentido_fisico,tipo_evento_ermesinde,grupo_plataforma,descricao_dia
15165,U,1,14:39,minho_guimaraes,Guimaraes_para_SB,passagem,linhas_4_5,diario
15175,U,7,19:39,minho_guimaraes,Guimaraes_para_SB,passagem,linhas_4_5,seg_sex_exceto_feriado
15177,U,1,20:39,minho_guimaraes,Guimaraes_para_SB,passagem,linhas_4_5,diario
15179,U,2,21:39,minho_guimaraes,Guimaraes_para_SB,passagem,linhas_4_5,sab_dom_feriado
15181,U,7,22:39,minho_guimaraes,Guimaraes_para_SB,passagem,linhas_4_5,seg_sex_exceto_feriado
15183,U,1,23:39,minho_guimaraes,Guimaraes_para_SB,passagem,linhas_4_5,diario
15503,U,1,05:48,douro_marco,SB_para_Marco,passagem,linhas_2_3,diario
15505,U,37,06:48,douro_marco,SB_para_Marco,passagem,linhas_2_3,seg_sab_exceto_feriado
15401,U,7,07:18,douro_marco,SB_para_Marco,passagem,linhas_2_3,seg_sex_exceto_feriado
15507,U,7,07:48,douro_marco,SB_para_Marco,passagem,linhas_2_3,seg_sex_exceto_feriado
15509,U,2,07:48,douro_marco,SB_para_Marco,passagem,linhas_2_3,sab_dom_feriado
15403,U,7,08:18,douro_marco,SB_para_Marco,passagem,linhas_2_3,seg_sex_exceto_feriado
15511,U,7,08:48,douro_marco,SB_para_Marco,passagem,linhas_2_3,seg_sex_exceto_feriado
15513,U,2,08:53,douro_marco,SB_para_Marco,passagem,linhas_2_3,sab_dom_feriado
15405,U,7,09:18,douro_marco,SB_para_Marco,passagem,linhas_2_3,seg_sex_exceto_feriado
15515,U,1,09:48,douro_marco,SB_para_Marco,passagem,linhas_2_3,diario
15517,U,7,10:53,douro_marco,SB_para_Marco,passagem,linhas_2_3,seg_sex_exceto_feriado
15519,U,2,10:58,douro_marco,SB_para_Marco,passagem,linhas_2_3,sab_dom_feriado
15407,U,7,11:18,douro_marco,SB_para_Marco,passagem,linhas_2_3,seg_sex_exceto_feriado
15521,U,1,11:53,douro_marco,SB_para_Marco,passagem,linhas_2_3,diario
15409,U,7,12:18,douro_marco,SB_para_Marco,passagem,linhas_2_3,seg_sex_exceto_feriado
15525,U,2,12:48,douro_marco,SB_para_Marco,passagem,linhas_2_3,sab_dom_feriado
15523,U,7,12:53,douro_marco,SB_para_Marco,passagem,linhas_2_3,seg_sex_exceto_feriado
15411,U,7,13:18,douro_marco,SB_para_Marco,passagem,linhas_2_3,seg_sex_exceto_feriado
15527,U,1,13:53,douro_marco,SB_para_Marco,passagem,linhas_2_3,diario
15413,U,7,14:18,douro_marco,SB_para_Marco,passagem,linhas_2_3,seg_sex_exceto_feriado
15529,U,7,14:53,douro_marco,SB_para_Marco,passagem,linhas_2_3,seg_sex_exceto_feriado
15531,U,2,14:53,douro_marco,SB_para_Marco,passagem,linhas_2_3,sab_dom_feriado
15415,U,7,15:18,douro_marco,SB_para_Marco,passagem,linhas_2_3,seg_sex_exceto_feriado
15533,U,1,15:48,douro_marco,SB_para_Marco,passagem,linhas_2_3,diario
15417,U,7,16:18,douro_marco,SB_para_Marco,passagem,linhas_2_3,seg_sex_exceto_feriado
15535,U,7,16:48,douro_marco,SB_para_Marco,passagem,linhas_2_3,seg_sex_exceto_feriado
15537,U,2,16:48,douro_marco,SB_para_Marco,passagem,linhas_2_3,sab_dom_feriado
15419,U,7,17:18,douro_marco,SB_para_Marco,passagem,linhas_2_3,seg_sex_exceto_feriado
15539,U,1,17:48,douro_marco,SB_para_Marco,passagem,linhas_2_3,diario
15421,U,7,17:54,douro_marco,SB_para_Marco,passagem,linhas_2_3,seg_sex_exceto_feriado
15541,U,7,18:10,douro_marco,SB_para_Marco,passagem,linhas_2_3,seg_sex_exceto_feriado
15423,U,1,18:19,douro_marco,SB_para_Marco,passagem,linhas_2_3,diario
15425,U,7,18:38,douro_marco,SB_para_Marco,passagem,linhas_2_3,seg_sex_exceto_feriado
15543,U,1,18:48,douro_marco,SB_para_Marco,passagem,linhas_2_3,diario
15427,U,7,18:53,douro_marco,SB_para_Marco,passagem,linhas_2_3,seg_sex_exceto_feriado
15429,U,1,19:18,douro_marco,SB_para_Marco,passagem,linhas_2_3,diario
15545,U,7,19:48,douro_marco,SB_para_Marco,passagem,linhas_2_3,seg_sex_exceto_feriado
15547,U,2,19:48,douro_marco,SB_para_Marco,passagem,linhas_2_3,sab_dom_feriado
15431,U,7,19:58,douro_marco,SB_para_Marco,passagem,linhas_2_3,seg_sex_exceto_feriado
15433,U,7,20:18,douro_marco,SB_para_Marco,passagem,linhas_2_3,seg_sex_exceto_feriado
15549,U,1,20:48,douro_marco,SB_para_Marco,passagem,linhas_2_3,diario
15551,U,1,21:48,douro_marco,SB_para_Marco,passagem,linhas_2_3,diario
4001,R,1,22:44,douro_marco,SB_para_Marco,passagem,linhas_2_3,diario
15553,U,1,23:48,douro_marco,SB_para_Marco,passagem,linhas_2_3,diario
15501,U,1,01:03,douro_marco,SB_para_Marco,passagem,linhas_2_3,diario
15500,U,1,05:22,douro_marco,Marco_para_SB,passagem,linhas_2_3,diario
15502,U,7,06:12,douro_marco,Marco_para_SB,passagem,linhas_2_3,seg_sex_exceto_feriado
15400,U,1,06:33,douro_marco,Marco_para_SB,passagem,linhas_2_3,diario
15504,U,7,06:52,douro_marco,Marco_para_SB,passagem,linhas_2_3,seg_sex_exceto_feriado
15506,U,37,07:12,douro_marco,Marco_para_SB,passagem,linhas_2_3,seg_sab_exceto_feriado
4000,R,1,07:23,douro_marco,Marco_para_SB,passagem,linhas_2_3,diario
15402,U,1,07:42,douro_marco,Marco_para_SB,passagem,linhas_2_3,diario
15508,U,7,07:52,douro_marco,Marco_para_SB,passagem,linhas_2_3,seg_sex_exceto_feriado
15404,U,7,08:02,douro_marco,Marco_para_SB,passagem,linhas_2_3,seg_sex_exceto_feriado
15510,U,1,08:12,douro_marco,Marco_para_SB,passagem,linhas_2_3,diario
15406,U,1,08:42,douro_marco,Marco_para_SB,passagem,linhas_2_3,diario
15512,U,7,08:52,douro_marco,Marco_para_SB,passagem,linhas_2_3,seg_sex_exceto_feriado
15428,U,7,09:07,douro_marco,Marco_para_SB,passagem,linhas_2_3,seg_sex_exceto_feriado
15514,U,1,09:17,douro_marco,Marco_para_SB,passagem,linhas_2_3,diario
15408,U,7,09:42,douro_marco,Marco_para_SB,passagem,linhas_2_3,seg_sex_exceto_feriado
15516,U,2,10:07,douro_marco,Marco_para_SB,passagem,linhas_2_3,sab_dom_feriado
15518,U,7,10:07,douro_marco,Marco_para_SB,passagem,linhas_2_3,seg_sex_exceto_feriado
15410,U,7,10:42,douro_marco,Marco_para_SB,passagem,linhas_2_3,seg_sex_exceto_feriado
15520,U,1,11:11,douro_marco,Marco_para_SB,passagem,linhas_2_3,diario
15522,U,2,12:07,douro_marco,Marco_para_SB,passagem,linhas_2_3,sab_dom_feriado
15524,U,7,12:02,douro_marco,Marco_para_SB,passagem,linhas_2_3,seg_sex_exceto_feriado
15412,U,7,12:42,douro_marco,Marco_para_SB,passagem,linhas_2_3,seg_sex_exceto_feriado
15526,U,1,13:16,douro_marco,Marco_para_SB,passagem,linhas_2_3,diario
15414,U,7,13:42,douro_marco,Marco_para_SB,passagem,linhas_2_3,seg_sex_exceto_feriado
15530,U,7,14:02,douro_marco,Marco_para_SB,passagem,linhas_2_3,seg_sex_exceto_feriado
15528,U,2,14:12,douro_marco,Marco_para_SB,passagem,linhas_2_3,sab_dom_feriado
15416,U,7,14:42,douro_marco,Marco_para_SB,passagem,linhas_2_3,seg_sex_exceto_feriado
15532,U,1,15:16,douro_marco,Marco_para_SB,passagem,linhas_2_3,diario
15418,U,7,15:42,douro_marco,Marco_para_SB,passagem,linhas_2_3,seg_sex_exceto_feriado
15536,U,7,16:02,douro_marco,Marco_para_SB,passagem,linhas_2_3,seg_sex_exceto_feriado
15534,U,2,16:12,douro_marco,Marco_para_SB,passagem,linhas_2_3,sab_dom_feriado
15420,U,7,16:42,douro_marco,Marco_para_SB,passagem,linhas_2_3,seg_sex_exceto_feriado
15538,U,1,17:17,douro_marco,Marco_para_SB,passagem,linhas_2_3,diario
15422,U,7,17:42,douro_marco,Marco_para_SB,passagem,linhas_2_3,seg_sex_exceto_feriado
15540,U,2,18:12,douro_marco,Marco_para_SB,passagem,linhas_2_3,sab_dom_feriado
15542,U,7,18:12,douro_marco,Marco_para_SB,passagem,linhas_2_3,seg_sex_exceto_feriado
15424,U,7,18:42,douro_marco,Marco_para_SB,passagem,linhas_2_3,seg_sex_exceto_feriado
15544,U,1,19:06,douro_marco,Marco_para_SB,passagem,linhas_2_3,diario
15426,U,1,19:42,douro_marco,Marco_para_SB,passagem,linhas_2_3,diario
15546,U,1,20:06,douro_marco,Marco_para_SB,passagem,linhas_2_3,diario
15548,U,1,21:12,douro_marco,Marco_para_SB,passagem,linhas_2_3,diario
15550,U,1,22:12,douro_marco,Marco_para_SB,passagem,linhas_2_3,diario
15552,U,1,23:22,douro_marco,Marco_para_SB,passagem,linhas_2_3,diario
