Outdoor Drybulb Temperature [C],Outdoor Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],6h Prediction Outdoor Drybulb Temperature [C],12h Prediction Outdoor Drybulb Temperature [C],24h Prediction Outdoor Drybulb Temperature [C],6h Prediction Outdoor Relative Humidity [%],12h Prediction Outdoor Relative Humidity [%],24h Prediction Outdoor Relative Humidity [%],6h Prediction Diffuse Solar Radiation [W/m2],12h Prediction Diffuse Solar Radiation [W/m2],24h Prediction Diffuse Solar Radiation [W/m2],6h Prediction Direct Solar Radiation [W/m2],12h Prediction Direct Solar Radiation [W/m2],24h Prediction Direct Solar Radiation [W/m2]
12.76,37.25,5.56,13.81,6.91,1.16,11.01,56.79,86.13,37.73,0.00,0.00,5.71,0.00,0.00,43.10
11.57,43.62,0.00,0.00,5.63,0.83,8.95,62.73,85.11,49.28,0.00,0.00,0.00,0.00,0.00,0.00
10.64,48.88,0.00,0.00,4.38,0.32,7.38,69.97,85.82,57.19,0.00,5.10,0.00,0.00,51.45,0.00
9.68,48.75,0.00,0.00,3.11,1.26,7.05,79.82,82.96,57.88,0.00,40.20,0.00,0.00,428.88,0.00
8.74,49.88,0.00,0.00,2.73,4.13,6.89,78.72,67.10,58.80,0.00,56.04,0.00,0.00,700.31,0.00
7.78,52.88,0.00,0.00,2.05,5.88,6.41,80.20,60.49,59.36,0.00,58.85,0.00,0.00,773.46,0.00
6.84,57.12,0.00,0.00,1.26,8.30,4.83,85.50,49.18,66.14,0.00,65.85,0.00,0.00,816.62,0.00
5.75,62.12,0.00,0.00,0.86,10.35,4.60,84.93,41.69,68.64,0.00,71.64,0.00,0.00,831.63,0.00
4.55,69.00,0.00,0.00,0.52,12.05,1.99,84.60,36.44,86.80,5.17,64.35,0.00,52.22,869.43,0.00
3.35,78.25,0.00,0.00,1.53,12.81,2.87,81.42,34.36,80.80,41.00,55.35,0.00,437.47,860.99,0.00
2.52,80.12,0.00,0.00,4.04,13.61,1.99,67.55,32.52,81.40,55.67,55.25,0.00,695.75,823.18,0.00
1.86,81.50,0.00,0.00,6.23,12.72,0.23,59.06,33.53,89.71,60.40,35.91,0.00,793.76,572.13,0.00
1.35,84.88,0.00,0.00,8.65,10.82,1.76,48.03,38.24,80.01,67.55,5.63,0.00,837.69,42.55,0.00
0.89,84.75,0.00,0.00,10.62,9.15,2.19,40.91,48.58,74.88,73.10,0.00,0.00,848.60,0.00,0.00
0.70,83.38,5.25,53.00,12.16,7.90,-0.11,36.16,55.22,90.18,64.87,0.00,5.48,876.37,0.00,25.30
1.76,79.88,41.81,446.06,12.89,7.22,1.44,34.18,57.19,82.16,55.64,0.00,59.40,865.59,0.00,181.88
3.96,68.00,55.31,691.19,13.30,6.63,4.53,33.26,59.96,62.62,54.10,0.00,153.79,805.96,0.00,145.00
6.53,57.62,61.94,814.06,12.50,5.87,5.20,34.07,61.80,57.22,35.36,0.00,195.03,563.37,0.00,202.93
8.94,46.88,69.25,858.75,10.73,4.63,6.68,38.50,67.13,51.24,5.60,0.00,203.43,42.28,0.00,367.97
10.86,40.12,74.56,865.56,9.25,4.11,7.80,48.23,71.19,47.86,0.00,0.00,245.49,0.00,0.00,191.21
12.25,35.88,65.38,883.31,8.16,2.49,9.76,54.24,83.90,39.18,0.00,0.00,257.82,0.00,0.00,223.21
12.95,34.00,55.94,870.19,7.31,2.55,9.88,56.85,82.71,36.81,0.00,0.00,168.87,0.00,0.00,346.79
13.04,34.00,52.94,788.75,6.49,1.90,11.07,60.54,81.95,33.72,0.00,0.00,123.59,0.00,0.00,449.48
12.31,34.62,34.81,554.62,5.61,0.86,11.65,63.03,85.98,32.16,0.00,0.00,87.43,0.00,0.00,412.18
10.65,38.75,5.56,42.00,4.53,1.46,9.61,67.62,81.81,39.25,0.00,0.00,10.42,0.00,0.00,29.85
9.34,47.88,0.00,0.00,3.87,1.53,7.80,72.47,78.81,49.24,0.00,0.00,0.00,0.00,0.00,0.00
8.38,53.25,0.00,0.00,2.75,0.36,8.71,82.45,87.34,43.70,0.00,5.68,0.00,0.00,26.21,0.00
7.38,56.50,0.00,0.00,2.40,1.60,7.64,83.66,81.27,44.89,0.00,60.08,0.00,0.00,183.94,0.00
6.38,61.12,0.00,0.00,1.85,3.96,5.85,82.23,65.43,48.61,0.00,147.92,0.00,0.00,139.47,0.00
5.38,64.25,0.00,0.00,1.18,5.18,5.11,84.12,57.30,50.10,0.00,194.76,0.00,0.00,202.65,0.00
4.44,68.12,0.00,0.00,1.31,7.00,2.75,82.72,50.12,59.32,0.00,208.31,0.00,0.00,376.79,0.00
3.66,73.75,0.00,0.00,1.20,8.40,2.75,80.78,45.99,58.94,0.00,256.87,0.00,0.00,200.08,0.00
2.96,81.00,0.00,0.00,0.60,9.87,2.46,85.92,38.90,61.52,5.78,259.72,0.00,26.66,224.86,0.00
2.26,84.62,0.00,0.00,1.67,10.30,1.74,80.83,35.78,64.27,60.41,174.19,0.00,184.97,357.71,0.00
1.81,82.50,0.00,0.00,3.67,11.01,0.67,66.84,33.86,66.79,144.99,123.07,0.00,136.70,447.62,0.00
1.45,82.25,0.00,0.00,5.17,11.15,-0.91,57.34,33.39,71.88,194.63,84.52,0.00,202.52,398.50,0.00
1.18,83.62,0.00,0.00,7.16,9.58,-0.26,49.56,39.31,70.61,210.75,10.40,0.00,381.21,29.80,0.00
0.91,82.75,0.00,0.00,8.70,8.13,0.40,45.06,48.12,70.12,262.56,0.00,0.00,204.51,0.00,0.00
0.80,84.50,5.88,27.12,9.92,8.07,-1.43,38.76,45.91,79.88,260.67,0.00,3.37,225.68,0.00,0.00
1.74,80.38,60.75,186.00,10.50,7.07,0.03,35.26,46.88,71.54,176.84,0.00,45.24,363.16,0.00,7.43
3.42,68.25,142.06,133.94,10.99,5.74,1.48,33.93,48.99,74.12,122.82,0.00,138.79,446.68,0.00,59.57
5.16,57.38,194.50,202.38,10.90,4.92,2.12,34.00,50.80,68.92,83.07,0.00,199.79,391.65,0.00,145.72
7.30,49.00,213.19,385.62,9.57,3.31,3.53,39.35,57.10,58.11,10.39,0.00,234.66,29.78,0.00,217.25
8.95,44.12,268.25,208.94,8.30,2.88,6.08,47.56,58.41,49.54,0.00,0.00,221.33,0.00,0.00,365.77
9.96,38.62,261.62,226.50,7.75,2.33,6.85,47.02,62.14,46.76,0.00,0.00,222.02,0.00,0.00,273.33
10.68,34.75,179.50,368.62,6.78,1.53,9.24,47.88,65.26,41.41,0.00,0.00,217.84,0.00,0.00,215.25
10.96,34.00,122.56,445.75,5.69,0.71,6.98,49.19,66.58,51.12,0.00,0.00,110.10,0.00,0.00,360.46
10.69,34.62,81.62,384.81,4.82,-0.29,9.08,51.15,68.94,43.52,0.00,0.00,65.27,0.00,0.00,284.61
9.56,39.38,10.38,29.75,3.60,-0.17,5.45,55.99,70.18,54.62,0.00,0.00,5.08,0.00,0.00,17.63
8.44,47.00,0.00,0.00,2.95,-0.01,6.35,58.14,72.31,48.98,0.00,0.00,0.00,0.00,0.00,0.00
7.47,48.12,0.00,0.00,2.26,-0.95,4.15,62.44,77.31,57.78,0.00,3.50,0.00,0.00,0.00,0.00
6.54,48.88,0.00,0.00,1.43,-0.08,3.94,65.76,72.14,58.62,0.00,44.87,0.00,0.00,7.37,0.00
5.64,49.38,0.00,0.00,0.73,1.16,3.10,66.48,75.87,63.21,0.00,135.80,0.00,0.00,58.28,0.00
4.74,51.50,0.00,0.00,0.02,2.37,2.17,67.47,67.77,66.23,0.00,203.36,0.00,0.00,148.33,0.00
3.84,54.88,0.00,0.00,-0.13,4.03,2.95,69.96,56.18,59.33,0.00,243.64,0.00,0.00,225.57,0.00
3.00,57.88,0.00,0.00,-0.21,6.17,0.46,73.41,49.21,64.21,0.00,222.86,0.00,0.00,368.29,0.00
2.20,62.75,0.00,0.00,-0.71,7.20,2.28,76.03,45.63,54.82,3.56,227.95,0.00,0.00,280.64,0.00
1.34,66.25,0.00,0.00,-0.14,8.61,-0.24,72.45,43.46,68.45,44.69,208.86,0.00,7.34,206.37,0.00
0.75,66.38,0.00,0.00,1.01,7.59,-0.88,76.75,49.06,72.67,134.31,115.40,0.00,57.64,377.79,0.00
0.29,66.00,0.00,0.00,2.49,8.40,0.96,67.20,45.88,64.76,205.15,62.36,0.00,149.64,271.90,0.00
-0.09,69.75,0.00,0.00,4.28,6.06,-0.06,55.21,52.43,70.74,248.13,5.32,0.00,229.72,18.47,0.00
-0.39,74.50,0.00,0.00,6.22,5.99,0.64,49.05,50.30,69.58,223.62,0.00,0.00,369.55,0.00,0.00
-0.50,74.75,3.62,0.00,7.38,4.57,0.84,45.06,56.14,72.76,230.91,0.00,6.55,284.29,0.00,39.58
-0.19,72.75,44.50,7.31,8.30,4.10,-0.17,44.48,57.93,81.76,204.37,0.00,45.74,201.94,0.00,308.55
0.87,77.62,132.81,57.00,7.90,3.34,1.96,48.03,62.17,70.22,118.04,0.00,72.06,386.46,0.00,522.88
2.59,66.62,206.94,150.94,8.05,2.53,5.66,47.07,64.61,53.35,60.90,0.00,143.87,265.55,0.00,511.52
4.49,54.25,252.62,233.88,6.36,2.54,6.57,51.34,61.17,49.87,5.44,0.00,198.53,18.89,0.00,342.37
6.26,48.88,224.38,370.81,5.81,1.05,8.24,50.96,61.73,42.92,0.00,0.00,188.34,0.00,0.00,425.73
7.53,44.50,233.88,287.94,4.78,1.66,10.15,55.32,57.47,36.34,0.00,0.00,200.02,0.00,0.00,436.59
8.03,45.50,199.88,197.50,4.19,0.19,11.11,57.59,66.47,33.84,0.00,0.00,129.43,0.00,0.00,603.48
8.16,47.00,120.69,395.12,3.46,-0.31,10.60,61.64,69.96,35.47,0.00,0.00,110.78,0.00,0.00,350.74
7.76,48.25,59.44,259.19,2.71,0.45,12.10,63.81,67.32,31.76,0.00,0.00,79.11,0.00,0.00,141.35
6.62,50.25,5.56,19.31,2.33,-0.15,9.75,62.08,71.18,37.92,0.00,0.00,7.28,0.00,0.00,8.88
5.66,51.62,0.00,0.00,1.34,0.12,7.18,60.49,72.35,51.95,0.00,0.00,0.00,0.00,0.00,0.00
4.96,54.50,0.00,0.00,1.35,0.20,7.04,58.80,76.44,54.13,0.00,6.28,0.00,0.00,37.92,0.00
4.26,57.25,0.00,0.00,0.41,0.26,7.48,65.49,79.38,52.14,0.00,47.24,0.00,0.00,318.71,0.00
3.56,61.12,0.00,0.00,-0.03,2.49,3.91,68.60,67.74,69.03,0.00,75.03,0.00,0.00,544.44,0.00
2.86,63.00,0.00,0.00,0.19,5.61,4.59,68.60,53.55,65.13,0.00,143.34,0.00,0.00,509.63,0.00
2.16,63.00,0.00,0.00,-0.19,7.12,2.33,71.40,48.06,76.75,0.00,206.95,0.00,0.00,356.91,0.00
1.59,59.25,0.00,0.00,-0.14,8.82,3.11,73.73,41.27,70.21,0.00,196.89,0.00,0.00,445.06,0.00
1.09,60.12,0.00,0.00,-0.12,10.39,1.59,78.28,35.73,81.11,6.14,203.60,0.00,37.08,444.42,0.00
0.59,64.50,0.00,0.00,0.47,11.34,0.48,78.19,33.29,89.50,48.00,131.65,0.00,323.80,613.86,0.00
0.21,67.25,0.00,0.00,2.76,11.21,-0.10,66.49,34.04,93.18,76.51,116.08,0.00,555.22,367.53,0.00
-0.03,69.88,0.00,0.00,5.58,11.47,-2.66,53.65,33.32,100.00,143.07,75.86,0.00,508.69,135.55,0.00
-0.23,71.62,0.00,0.00,7.40,9.54,-0.60,47.15,38.52,90.77,211.17,7.17,0.00,364.17,8.75,0.00
-0.36,75.12,0.00,0.00,9.11,7.68,-1.71,40.44,50.23,95.97,201.17,0.00,0.00,454.72,0.00,0.00
-0.40,80.12,6.00,36.25,10.52,7.11,-3.32,35.42,53.87,100.00,205.40,0.00,4.57,448.33,0.00,48.79
0.66,77.00,48.75,328.88,11.46,6.80,-0.81,33.02,54.94,90.56,132.77,0.00,41.99,619.06,0.00,457.87
2.99,65.25,78.00,566.00,11.52,4.56,-0.33,33.33,66.08,92.70,118.73,0.00,57.03,375.92,0.00,604.75
5.56,53.75,142.81,507.75,11.16,4.41,2.84,34.10,66.01,76.17,74.24,0.00,88.72,132.65,0.00,678.88
7.63,46.25,215.38,371.44,9.43,2.82,6.29,38.82,74.25,55.61,7.11,0.00,128.81,8.69,0.00,722.15
9.36,39.62,205.44,464.38,7.93,2.65,8.47,49.36,72.73,43.82,0.00,0.00,129.97,0.00,0.00,783.21
10.62,35.12,207.19,452.25,7.14,1.34,7.38,53.75,82.62,47.18,0.00,0.00,99.07,0.00,0.00,663.22
11.56,32.75,133.88,624.25,6.46,0.24,9.13,56.35,91.13,42.06,0.00,0.00,92.27,0.00,0.00,697.08
11.78,32.62,121.38,384.31,4.89,-0.45,8.15,64.60,95.65,43.36,0.00,0.00,70.85,0.00,0.00,572.31
10.89,34.88,72.62,129.75,4.32,-2.00,7.53,66.44,100.00,44.37,0.00,0.00,41.96,0.00,0.00,431.39
9.34,39.12,7.06,8.62,3.06,-1.25,7.81,73.00,95.38,42.39,0.00,0.00,7.53,0.00,0.00,37.71
8.14,48.50,0.00,0.00,2.41,-1.99,6.92,73.99,97.99,47.16,0.00,0.00,0.00,0.00,0.00,0.00
7.17,53.62,0.00,0.00,1.22,-2.88,5.47,83.37,100.00,53.83,0.00,4.72,0.00,0.00,50.45,0.00
6.17,57.75,0.00,0.00,0.12,-1.14,2.86,91.94,92.78,62.49,0.00,41.06,0.00,0.00,447.65,0.00
5.17,63.12,0.00,0.00,-0.63,0.23,2.12,96.88,89.23,65.49,0.00,59.54,0.00,0.00,631.44,0.00
4.24,66.88,0.00,0.00,-1.66,3.06,1.07,100.00,75.03,68.32,0.00,90.14,0.00,0.00,689.75,0.00
3.27,71.75,0.00,0.00,-1.57,5.88,-1.14,97.69,57.30,79.76,0.00,125.31,0.00,0.00,702.51,0.00
2.21,75.25,0.00,0.00,-2.13,7.87,-0.02,98.99,45.91,72.44,0.00,124.76,0.00,0.00,751.85,0.00
1.11,84.12,0.00,0.00,-2.65,8.04,-2.13,100.00,45.15,82.97,4.80,104.22,0.00,51.29,697.74,0.00
0.01,92.75,0.00,0.00,-1.30,9.24,-2.25,93.89,41.72,80.04,40.59,93.04,0.00,442.55,702.92,0.00
-0.78,98.12,0.00,0.00,0.52,8.79,-3.66,87.49,41.56,84.91,60.80,74.40,0.00,644.78,600.93,0.00
-1.38,100.00,0.00,0.00,3.17,8.12,-3.79,74.45,42.63,85.09,90.85,43.92,0.00,695.19,451.54,0.00
-1.85,100.00,0.00,0.00,5.68,7.48,-4.88,58.15,43.44,89.91,123.56,7.36,0.00,692.70,36.85,0.00
-2.25,100.00,0.00,0.00,7.56,6.31,-5.97,46.96,49.39,95.81,122.16,0.00,0.00,736.18,0.00,0.00
-2.46,100.00,4.88,52.12,8.37,5.03,-5.81,44.14,55.66,96.30,106.80,0.00,5.71,714.99,0.00,28.10
-1.44,95.00,40.12,437.44,9.30,3.20,-5.01,41.55,61.06,92.27,93.42,0.00,49.71,705.83,0.00,246.13
0.76,85.75,62.06,658.12,9.11,2.24,-3.30,40.65,64.94,84.12,76.17,0.00,84.27,615.25,0.00,423.35
3.26,73.88,91.56,700.62,8.42,1.14,-0.87,41.75,67.97,73.79,44.90,0.00,111.88,461.61,0.00,531.74
5.51,59.00,121.81,682.88,7.31,-0.49,1.25,43.97,76.38,61.08,7.28,0.00,140.83,36.43,0.00,535.95
7.30,48.00,119.56,720.50,6.01,-0.46,4.88,50.50,74.85,46.63,0.00,0.00,168.90,0.00,0.00,619.64
8.65,43.12,109.38,732.25,4.80,-1.97,4.26,56.58,82.05,50.33,0.00,0.00,129.61,0.00,0.00,562.97
9.35,41.38,93.81,708.75,3.37,-2.55,5.70,60.34,81.83,45.87,0.00,0.00,143.51,0.00,0.00,489.79
9.38,39.75,77.94,629.56,2.30,-3.58,6.34,64.66,84.45,41.83,0.00,0.00,127.37,0.00,0.00,364.55
8.68,40.88,45.88,471.69,1.18,-3.90,5.02,67.79,85.79,44.49,0.00,0.00,67.60,0.00,0.00,233.68
7.17,44.50,7.19,36.00,-0.17,-4.63,3.45,74.69,88.33,49.80,0.00,0.00,8.62,0.00,0.00,17.50
5.75,51.62,0.00,0.00,-0.67,-5.34,1.91,76.05,91.85,59.77,0.00,0.00,0.00,0.00,0.00,0.00
4.61,57.50,0.00,0.00,-1.89,-5.34,1.71,81.58,93.28,62.67,0.00,5.91,0.00,0.00,29.11,0.00
3.51,59.62,0.00,0.00,-2.70,-4.50,1.80,82.73,89.14,61.78,0.00,51.66,0.00,0.00,255.82,0.00
2.35,64.38,0.00,0.00,-3.54,-2.69,0.99,84.23,80.75,60.65,0.00,88.29,0.00,0.00,443.55,0.00
1.21,67.62,0.00,0.00,-3.96,-0.31,-1.18,86.15,71.09,68.94,0.00,116.69,0.00,0.00,554.59,0.00
0.11,73.00,0.00,0.00,-4.50,1.85,0.33,87.54,58.67,62.96,0.00,147.44,0.00,0.00,561.13,0.00
-0.86,77.25,0.00,0.00,-5.02,4.53,-1.10,89.86,47.88,70.53,0.00,164.82,0.00,0.00,604.70,0.00
-1.82,81.12,0.00,0.00,-5.10,4.90,-1.34,91.76,48.22,73.52,6.02,136.11,0.00,29.61,591.23,0.00
-2.83,83.62,0.00,0.00,-4.25,5.93,-1.60,87.57,45.13,77.03,52.64,146.01,0.00,260.66,498.30,0.00
-3.51,84.00,0.00,0.00,-2.38,6.19,-1.31,79.07,42.29,73.04,90.30,126.03,0.00,453.65,360.71,0.00
-4.01,86.50,0.00,0.00,-0.04,5.12,-3.71,69.73,44.19,85.02,119.10,68.08,0.00,566.01,235.34,0.00
-4.39,86.75,0.00,0.00,2.15,3.60,-2.89,57.46,49.27,81.84,150.75,8.72,0.00,573.72,17.69,0.00
-4.75,87.88,0.00,0.00,4.35,2.30,-3.81,48.50,58.20,88.13,162.79,0.00,0.00,597.22,0.00,0.00
-4.90,90.25,6.12,30.12,5.22,1.87,-3.69,47.17,61.96,84.08,139.37,0.00,5.25,605.37,0.00,69.59
-4.03,86.00,53.62,265.50,6.05,1.57,-1.88,44.75,62.83,73.42,147.25,0.00,54.55,502.56,0.00,549.23
-2.12,77.38,92.31,463.75,6.11,0.85,1.40,42.52,61.27,59.58,125.36,0.00,128.36,358.80,0.00,595.45
0.20,68.38,121.50,577.44,5.17,-0.54,4.62,44.03,66.03,47.80,68.32,0.00,188.86,236.17,0.00,319.63
2.41,56.25,154.06,586.31,3.68,-0.14,6.49,49.01,65.23,42.82,8.76,0.00,220.00,17.78,0.00,65.15
4.20,49.12,160.75,589.75,2.49,-1.08,3.92,57.41,70.39,54.16,0.00,0.00,145.43,0.00,0.00,19.53
5.49,46.12,142.62,619.50,1.95,-1.40,4.80,61.60,73.82,53.82,0.00,0.00,226.35,0.00,0.00,143.06
