Outdoor Drybulb Temperature [C],Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],6h Prediction Outdoor Drybulb Temperature [C],12h Prediction Outdoor Drybulb Temperature [C],24h Prediction Outdoor Drybulb Temperature [C],6h Prediction Relative Humidity [%],12h Prediction Relative Humidity [%],24h Prediction Relative Humidity [%],6h Prediction Diffuse Solar Radiation [W/m2],12h Prediction Diffuse Solar Radiation [W/m2],24h Prediction Diffuse Solar Radiation [W/m2],6h Prediction Direct Solar Radiation [W/m2],12h Prediction Direct Solar Radiation [W/m2],24h Prediction Direct Solar Radiation [W/m2]
22.2,73.0,683.0,291.0,20.0,19.4,21.0,76.0,87.0,78.0,0.0,0.0,907.0,0.0,0.0,685.0
22.8,71.0,522.0,153.0,20.6,19.4,22.8,70.0,90.0,68.0,0.0,0.0,789.0,0.0,0.0,777.0
22.2,71.0,444.0,174.0,20.6,18.9,22.8,73.0,90.0,67.0,0.0,0.0,631.0,0.0,0.0,703.0
21.1,76.0,392.0,396.0,19.4,18.3,22.2,81.0,93.0,68.0,0.0,0.0,443.0,0.0,0.0,585.0
20.6,78.0,231.0,320.0,20.0,18.9,23.3,81.0,90.0,79.0,0.0,15.0,245.0,0.0,14.0,337.0
20.6,73.0,27.0,143.0,19.4,20.0,22.8,87.0,87.0,68.0,0.0,116.0,27.0,0.0,42.0,147.0
20.0,76.0,0.0,0.0,19.4,20.0,22.8,87.0,87.0,61.0,0.0,252.0,0.0,0.0,74.0,0.0
20.6,70.0,0.0,0.0,19.4,20.0,20.0,90.0,84.0,84.0,0.0,292.0,0.0,0.0,35.0,0.0
20.6,73.0,0.0,0.0,18.9,21.7,20.6,90.0,76.0,78.0,0.0,436.0,0.0,0.0,95.0,0.0
19.4,81.0,0.0,0.0,18.3,21.7,20.6,93.0,73.0,78.0,0.0,604.0,0.0,0.0,209.0,0.0
20.0,81.0,0.0,0.0,18.9,22.2,19.4,90.0,71.0,79.0,15.0,589.0,0.0,14.0,144.0,0.0
19.4,87.0,0.0,0.0,20.0,21.0,20.0,87.0,78.0,78.0,116.0,554.0,0.0,42.0,133.0,0.0
19.4,87.0,0.0,0.0,20.0,21.0,19.4,87.0,78.0,84.0,252.0,907.0,0.0,74.0,685.0,0.0
19.4,90.0,0.0,0.0,20.0,22.8,19.4,84.0,68.0,84.0,292.0,789.0,0.0,35.0,777.0,0.0
18.9,90.0,0.0,0.0,21.7,22.8,19.4,76.0,67.0,84.0,436.0,631.0,0.0,95.0,703.0,0.0
18.3,93.0,0.0,0.0,21.7,22.2,18.9,73.0,68.0,87.0,604.0,443.0,0.0,209.0,585.0,0.0
18.9,90.0,15.0,14.0,22.2,23.3,19.4,71.0,79.0,84.0,589.0,245.0,27.0,144.0,337.0,144.0
20.0,87.0,116.0,42.0,21.0,22.8,21.1,78.0,68.0,76.0,554.0,27.0,192.0,133.0,147.0,395.0
20.0,87.0,252.0,74.0,21.0,22.8,22.8,78.0,61.0,66.0,907.0,0.0,404.0,685.0,0.0,609.0
20.0,84.0,292.0,35.0,22.8,20.0,24.4,68.0,84.0,64.0,789.0,0.0,611.0,777.0,0.0,730.0
21.7,76.0,436.0,95.0,22.8,20.6,23.9,67.0,78.0,66.0,631.0,0.0,778.0,703.0,0.0,793.0
21.7,73.0,604.0,209.0,22.2,20.6,25.0,68.0,78.0,62.0,443.0,0.0,897.0,585.0,0.0,811.0
22.2,71.0,589.0,144.0,23.3,19.4,25.0,79.0,79.0,58.0,245.0,0.0,958.0,337.0,0.0,815.0
21.0,78.0,554.0,133.0,22.8,20.0,25.0,68.0,78.0,58.0,27.0,0.0,960.0,147.0,0.0,819.0
21.0,78.0,907.0,685.0,22.8,19.4,24.4,61.0,84.0,58.0,0.0,0.0,901.0,0.0,0.0,812.0
22.8,68.0,789.0,777.0,20.0,19.4,25.0,84.0,84.0,56.0,0.0,0.0,790.0,0.0,0.0,771.0
22.8,67.0,631.0,703.0,20.6,19.4,23.9,78.0,84.0,64.0,0.0,0.0,632.0,0.0,0.0,604.0
22.2,68.0,443.0,585.0,20.6,18.9,23.3,78.0,87.0,64.0,0.0,0.0,362.0,0.0,0.0,293.0
23.3,79.0,245.0,337.0,19.4,19.4,22.8,79.0,84.0,64.0,0.0,27.0,124.0,0.0,144.0,31.0
22.8,68.0,27.0,147.0,20.0,21.1,22.2,78.0,76.0,68.0,0.0,192.0,13.0,0.0,395.0,13.0
22.8,61.0,0.0,0.0,19.4,22.8,21.1,84.0,66.0,78.0,0.0,404.0,0.0,0.0,609.0,0.0
20.0,84.0,0.0,0.0,19.4,24.4,20.6,84.0,64.0,78.0,0.0,611.0,0.0,0.0,730.0,0.0
20.6,78.0,0.0,0.0,19.4,23.9,20.6,84.0,66.0,73.0,0.0,778.0,0.0,0.0,793.0,0.0
20.6,78.0,0.0,0.0,18.9,25.0,20.0,87.0,62.0,76.0,0.0,897.0,0.0,0.0,811.0,0.0
19.4,79.0,0.0,0.0,19.4,25.0,18.9,84.0,58.0,84.0,27.0,958.0,0.0,144.0,815.0,0.0
20.0,78.0,0.0,0.0,21.1,25.0,19.4,76.0,58.0,81.0,192.0,960.0,0.0,395.0,819.0,0.0
19.4,84.0,0.0,0.0,22.8,24.4,20.0,66.0,58.0,81.0,404.0,901.0,0.0,609.0,812.0,0.0
19.4,84.0,0.0,0.0,24.4,25.0,19.4,64.0,56.0,84.0,611.0,790.0,0.0,730.0,771.0,0.0
19.4,84.0,0.0,0.0,23.9,23.9,18.9,66.0,64.0,87.0,778.0,632.0,0.0,793.0,604.0,0.0
18.9,87.0,0.0,0.0,25.0,23.3,18.9,62.0,64.0,87.0,897.0,362.0,0.0,811.0,293.0,0.0
19.4,84.0,27.0,144.0,25.0,22.8,18.9,58.0,64.0,87.0,958.0,124.0,13.0,815.0,31.0,7.0
21.1,76.0,192.0,395.0,25.0,22.2,20.0,58.0,68.0,81.0,960.0,13.0,80.0,819.0,13.0,5.0
22.8,66.0,404.0,609.0,24.4,21.1,21.1,58.0,78.0,76.0,901.0,0.0,418.0,812.0,0.0,512.0
24.4,64.0,611.0,730.0,25.0,20.6,23.9,56.0,78.0,64.0,790.0,0.0,616.0,771.0,0.0,736.0
23.9,66.0,778.0,793.0,23.9,20.6,25.6,64.0,73.0,60.0,632.0,0.0,778.0,604.0,0.0,793.0
25.0,62.0,897.0,811.0,23.3,20.0,23.3,64.0,76.0,71.0,362.0,0.0,897.0,293.0,0.0,739.0
25.0,58.0,958.0,815.0,22.8,18.9,22.2,64.0,84.0,71.0,124.0,0.0,720.0,31.0,0.0,276.0
25.0,58.0,960.0,819.0,22.2,19.4,22.2,68.0,81.0,71.0,13.0,0.0,474.0,13.0,0.0,66.0
24.4,58.0,901.0,812.0,21.1,20.0,22.2,78.0,81.0,73.0,0.0,0.0,441.0,0.0,0.0,30.0
25.0,56.0,790.0,771.0,20.6,19.4,21.7,78.0,84.0,76.0,0.0,0.0,328.0,0.0,0.0,18.0
23.9,64.0,632.0,604.0,20.6,18.9,20.6,73.0,87.0,81.0,0.0,0.0,446.0,0.0,0.0,206.0
23.3,64.0,362.0,293.0,20.0,18.9,20.0,76.0,87.0,81.0,0.0,0.0,437.0,0.0,0.0,482.0
22.8,64.0,124.0,31.0,18.9,18.9,20.0,84.0,87.0,78.0,0.0,13.0,239.0,0.0,7.0,325.0
22.2,68.0,13.0,13.0,19.4,20.0,19.4,81.0,81.0,81.0,0.0,80.0,23.0,0.0,5.0,135.0
21.1,78.0,0.0,0.0,20.0,21.1,19.4,81.0,76.0,79.0,0.0,418.0,0.0,0.0,512.0,0.0
20.6,78.0,0.0,0.0,19.4,23.9,19.4,84.0,64.0,84.0,0.0,616.0,0.0,0.0,736.0,0.0
20.6,73.0,0.0,0.0,18.9,25.6,18.9,87.0,60.0,84.0,0.0,778.0,0.0,0.0,793.0,0.0
20.0,76.0,0.0,0.0,18.9,23.3,18.9,87.0,71.0,87.0,0.0,897.0,0.0,0.0,739.0,0.0
18.9,84.0,0.0,0.0,18.9,22.2,20.0,87.0,71.0,68.0,13.0,720.0,0.0,7.0,276.0,0.0
19.4,81.0,0.0,0.0,20.0,22.2,18.9,81.0,71.0,84.0,80.0,474.0,0.0,5.0,66.0,0.0
20.0,81.0,0.0,0.0,21.1,22.2,20.0,76.0,73.0,78.0,418.0,441.0,0.0,512.0,30.0,0.0
19.4,84.0,0.0,0.0,23.9,21.7,19.4,64.0,76.0,81.0,616.0,328.0,0.0,736.0,18.0,0.0
18.9,87.0,0.0,0.0,25.6,20.6,19.4,60.0,81.0,81.0,778.0,446.0,0.0,793.0,206.0,0.0
18.9,87.0,0.0,0.0,23.3,20.0,19.4,71.0,81.0,81.0,897.0,437.0,0.0,739.0,482.0,0.0
18.9,87.0,13.0,7.0,22.2,20.0,19.4,71.0,78.0,79.0,720.0,239.0,18.0,276.0,325.0,52.0
20.0,81.0,80.0,5.0,22.2,19.4,20.0,71.0,81.0,76.0,474.0,23.0,111.0,66.0,135.0,47.0
21.1,76.0,418.0,512.0,22.2,19.4,20.0,73.0,79.0,78.0,441.0,0.0,218.0,30.0,0.0,28.0
23.9,64.0,616.0,736.0,21.7,19.4,20.6,76.0,84.0,73.0,328.0,0.0,355.0,18.0,0.0,88.0
25.6,60.0,778.0,793.0,20.6,18.9,21.1,81.0,84.0,73.0,446.0,0.0,386.0,206.0,0.0,41.0
23.3,71.0,897.0,739.0,20.0,18.9,21.7,81.0,87.0,73.0,437.0,0.0,615.0,482.0,0.0,262.0
22.2,71.0,720.0,276.0,20.0,20.0,21.7,78.0,68.0,70.0,239.0,0.0,958.0,325.0,0.0,749.0
22.2,71.0,474.0,66.0,19.4,18.9,21.7,81.0,84.0,73.0,23.0,0.0,960.0,135.0,0.0,819.0
22.2,73.0,441.0,30.0,19.4,20.0,21.1,79.0,78.0,76.0,0.0,0.0,901.0,0.0,0.0,812.0
21.7,76.0,328.0,18.0,19.4,19.4,20.6,84.0,81.0,75.0,0.0,0.0,784.0,0.0,0.0,771.0
20.6,81.0,446.0,206.0,18.9,19.4,20.0,84.0,81.0,78.0,0.0,0.0,626.0,0.0,0.0,698.0
20.0,81.0,437.0,482.0,18.9,19.4,20.0,87.0,81.0,78.0,0.0,0.0,438.0,0.0,0.0,580.0
20.0,78.0,239.0,325.0,20.0,19.4,19.4,68.0,79.0,79.0,0.0,18.0,242.0,0.0,52.0,319.0
19.4,81.0,23.0,135.0,18.9,20.0,19.4,84.0,76.0,79.0,0.0,111.0,22.0,0.0,47.0,129.0
19.4,79.0,0.0,0.0,20.0,20.0,19.4,78.0,78.0,76.0,0.0,218.0,0.0,0.0,28.0,0.0
19.4,84.0,0.0,0.0,19.4,20.6,19.4,81.0,73.0,76.0,0.0,355.0,0.0,0.0,88.0,0.0
18.9,84.0,0.0,0.0,19.4,21.1,19.4,81.0,73.0,76.0,0.0,386.0,0.0,0.0,41.0,0.0
18.9,87.0,0.0,0.0,19.4,21.7,20.0,81.0,73.0,73.0,0.0,615.0,0.0,0.0,262.0,0.0
20.0,68.0,0.0,0.0,19.4,21.7,18.9,79.0,70.0,78.0,18.0,958.0,0.0,52.0,749.0,0.0
18.9,84.0,0.0,0.0,20.0,21.7,20.0,76.0,73.0,68.0,111.0,960.0,0.0,47.0,819.0,0.0
20.0,78.0,0.0,0.0,20.0,21.1,19.4,78.0,76.0,73.0,218.0,901.0,0.0,28.0,812.0,0.0
19.4,81.0,0.0,0.0,20.6,20.6,20.0,73.0,75.0,65.0,355.0,784.0,0.0,88.0,771.0,0.0
19.4,81.0,0.0,0.0,21.1,20.0,20.0,73.0,78.0,63.0,386.0,626.0,0.0,41.0,698.0,0.0
19.4,81.0,0.0,0.0,21.7,20.0,20.0,73.0,78.0,63.0,615.0,438.0,0.0,262.0,580.0,0.0
19.4,79.0,18.0,52.0,21.7,19.4,20.0,70.0,79.0,63.0,958.0,242.0,9.0,749.0,319.0,0.0
20.0,76.0,111.0,47.0,21.7,19.4,20.0,73.0,79.0,63.0,960.0,22.0,144.0,819.0,129.0,168.0
20.0,78.0,218.0,28.0,21.1,19.4,21.1,76.0,76.0,59.0,901.0,0.0,152.0,812.0,0.0,11.0
20.6,73.0,355.0,88.0,20.6,19.4,21.7,75.0,76.0,57.0,784.0,0.0,427.0,771.0,0.0,210.0
21.1,73.0,386.0,41.0,20.0,19.4,21.1,78.0,76.0,68.0,626.0,0.0,618.0,698.0,0.0,343.0
21.7,73.0,615.0,262.0,20.0,20.0,21.1,78.0,73.0,66.0,438.0,0.0,810.0,580.0,0.0,572.0
21.7,70.0,958.0,749.0,19.4,18.9,22.2,79.0,78.0,61.0,242.0,0.0,875.0,319.0,0.0,593.0
21.7,73.0,960.0,819.0,19.4,20.0,22.8,79.0,68.0,61.0,22.0,0.0,677.0,129.0,0.0,259.0
21.1,76.0,901.0,812.0,19.4,19.4,22.2,76.0,73.0,66.0,0.0,0.0,786.0,0.0,0.0,497.0
20.6,75.0,784.0,771.0,19.4,20.0,22.2,76.0,65.0,61.0,0.0,0.0,711.0,0.0,0.0,569.0
20.0,78.0,626.0,698.0,19.4,20.0,21.7,76.0,63.0,61.0,0.0,0.0,526.0,0.0,0.0,436.0
20.0,78.0,438.0,580.0,20.0,20.0,20.6,73.0,63.0,68.0,0.0,0.0,356.0,0.0,0.0,333.0
19.4,79.0,242.0,319.0,18.9,20.0,20.0,78.0,63.0,70.0,0.0,9.0,193.0,0.0,0.0,195.0
19.4,79.0,22.0,129.0,20.0,20.0,19.4,68.0,63.0,73.0,0.0,144.0,17.0,0.0,168.0,77.0
19.4,76.0,0.0,0.0,19.4,21.1,19.4,73.0,59.0,76.0,0.0,152.0,0.0,0.0,11.0,0.0
19.4,76.0,0.0,0.0,20.0,21.7,18.9,65.0,57.0,78.0,0.0,427.0,0.0,0.0,210.0,0.0
19.4,76.0,0.0,0.0,20.0,21.1,19.4,63.0,68.0,79.0,0.0,618.0,0.0,0.0,343.0,0.0
20.0,73.0,0.0,0.0,20.0,21.1,19.4,63.0,66.0,79.0,0.0,810.0,0.0,0.0,572.0,0.0
18.9,78.0,0.0,0.0,20.0,22.2,18.3,63.0,61.0,84.0,9.0,875.0,0.0,0.0,593.0,0.0
20.0,68.0,0.0,0.0,20.0,22.8,18.3,63.0,61.0,84.0,144.0,677.0,0.0,168.0,259.0,0.0
19.4,73.0,0.0,0.0,21.1,22.2,17.2,59.0,66.0,87.0,152.0,786.0,0.0,11.0,497.0,0.0
20.0,65.0,0.0,0.0,21.7,22.2,17.2,57.0,61.0,84.0,427.0,711.0,0.0,210.0,569.0,0.0
20.0,63.0,0.0,0.0,21.1,21.7,17.2,68.0,61.0,84.0,618.0,526.0,0.0,343.0,436.0,0.0
20.0,63.0,0.0,0.0,21.1,20.6,17.2,66.0,68.0,84.0,810.0,356.0,0.0,572.0,333.0,0.0
20.0,63.0,9.0,0.0,22.2,20.0,17.8,61.0,70.0,80.0,875.0,193.0,21.0,593.0,195.0,126.0
20.0,63.0,144.0,168.0,22.8,19.4,18.9,61.0,73.0,75.0,677.0,17.0,178.0,259.0,77.0,387.0
21.1,59.0,152.0,11.0,22.2,19.4,20.0,66.0,76.0,70.0,786.0,0.0,365.0,497.0,0.0,483.0
21.7,57.0,427.0,210.0,22.2,18.9,20.6,61.0,78.0,68.0,711.0,0.0,573.0,569.0,0.0,602.0
21.1,68.0,618.0,343.0,21.7,19.4,20.6,61.0,79.0,68.0,526.0,0.0,739.0,436.0,0.0,657.0
21.1,66.0,810.0,572.0,20.6,19.4,21.7,68.0,79.0,63.0,356.0,0.0,862.0,333.0,0.0,709.0
22.2,61.0,875.0,593.0,20.0,18.3,22.2,70.0,84.0,61.0,193.0,0.0,934.0,195.0,0.0,749.0
22.8,61.0,677.0,259.0,19.4,18.3,22.2,73.0,84.0,61.0,17.0,0.0,942.0,77.0,0.0,771.0
22.2,66.0,786.0,497.0,19.4,17.2,22.2,76.0,87.0,61.0,0.0,0.0,895.0,0.0,0.0,812.0
22.2,61.0,711.0,569.0,18.9,17.2,21.7,78.0,84.0,66.0,0.0,0.0,785.0,0.0,0.0,771.0
21.7,61.0,526.0,436.0,19.4,17.2,21.1,79.0,84.0,68.0,0.0,0.0,620.0,0.0,0.0,680.0
20.6,68.0,356.0,333.0,19.4,17.2,20.6,79.0,84.0,70.0,0.0,0.0,416.0,0.0,0.0,477.0
20.0,70.0,193.0,195.0,18.3,17.8,20.0,84.0,80.0,68.0,0.0,21.0,183.0,0.0,126.0,173.0
19.4,73.0,17.0,77.0,18.3,18.9,19.4,84.0,75.0,70.0,0.0,178.0,15.0,0.0,387.0,66.0
19.4,76.0,0.0,0.0,17.2,20.0,18.9,87.0,70.0,75.0,0.0,365.0,0.0,0.0,483.0,0.0
18.9,78.0,0.0,0.0,17.2,20.6,18.3,84.0,68.0,81.0,0.0,573.0,0.0,0.0,602.0,0.0
19.4,79.0,0.0,0.0,17.2,20.6,18.3,84.0,68.0,84.0,0.0,739.0,0.0,0.0,657.0,0.0
19.4,79.0,0.0,0.0,17.2,21.7,18.3,84.0,63.0,87.0,0.0,862.0,0.0,0.0,709.0,0.0
18.3,84.0,0.0,0.0,17.8,22.2,18.3,80.0,61.0,78.0,21.0,934.0,0.0,126.0,749.0,0.0
18.3,84.0,0.0,0.0,18.9,22.2,17.8,75.0,61.0,84.0,178.0,942.0,0.0,387.0,771.0,0.0
17.2,87.0,0.0,0.0,20.0,22.2,17.8,70.0,61.0,84.0,365.0,895.0,0.0,483.0,812.0,0.0
17.2,84.0,0.0,0.0,20.6,21.7,17.2,68.0,66.0,84.0,573.0,785.0,0.0,602.0,771.0,0.0
17.2,84.0,0.0,0.0,20.6,21.1,17.2,68.0,68.0,84.0,739.0,620.0,0.0,657.0,680.0,0.0
17.2,84.0,0.0,0.0,21.7,20.6,17.2,63.0,70.0,81.0,862.0,416.0,0.0,709.0,477.0,0.0
17.8,80.0,21.0,126.0,22.2,20.0,17.8,61.0,68.0,80.0,934.0,183.0,18.0,749.0,173.0,108.0
18.9,75.0,178.0,387.0,22.2,19.4,18.9,61.0,70.0,75.0,942.0,15.0,181.0,771.0,66.0,397.0
20.0,70.0,365.0,483.0,22.2,18.9,20.0,61.0,75.0,70.0,895.0,0.0,369.0,812.0,0.0,471.0
20.6,68.0,573.0,602.0,21.7,18.3,21.0,66.0,81.0,64.0,785.0,0.0,541.0,771.0,0.0,520.0
20.6,68.0,739.0,657.0,21.1,18.3,21.7,68.0,84.0,66.0,620.0,0.0,711.0,680.0,0.0,568.0
21.7,63.0,862.0,709.0,20.6,18.3,22.2,70.0,87.0,64.0,416.0,0.0,873.0,477.0,0.0,727.0
22.2,61.0,934.0,749.0,20.0,18.3,22.8,68.0,78.0,59.0,183.0,0.0,934.0,173.0,0.0,749.0
22.2,61.0,942.0,771.0,19.4,17.8,22.2,70.0,84.0,61.0,15.0,0.0,936.0,66.0,0.0,759.0
22.2,61.0,895.0,812.0,18.9,17.8,22.2,75.0,84.0,59.0,0.0,0.0,896.0,0.0,0.0,812.0
21.7,66.0,785.0,771.0,18.3,17.2,21.7,81.0,84.0,63.0,0.0,0.0,779.0,0.0,0.0,771.0
21.1,68.0,620.0,680.0,18.3,17.2,21.7,84.0,84.0,66.0,0.0,0.0,621.0,0.0,0.0,692.0
20.6,70.0,416.0,477.0,18.3,17.2,20.6,87.0,81.0,68.0,0.0,0.0,417.0,0.0,0.0,549.0
20.0,68.0,183.0,173.0,18.3,17.8,20.0,78.0,80.0,70.0,0.0,18.0,186.0,0.0,108.0,214.0
19.4,70.0,15.0,66.0,17.8,18.9,19.4,84.0,75.0,73.0,0.0,181.0,14.0,0.0,397.0,79.0
18.9,75.0,0.0,0.0,17.8,20.0,18.3,84.0,70.0,81.0,0.0,369.0,0.0,0.0,471.0,0.0
18.3,81.0,0.0,0.0,17.2,21.0,18.9,84.0,64.0,78.0,0.0,541.0,0.0,0.0,520.0,0.0
18.3,84.0,0.0,0.0,17.2,21.7,18.3,84.0,66.0,78.0,0.0,711.0,0.0,0.0,568.0,0.0
18.3,87.0,0.0,0.0,17.2,22.2,18.3,81.0,64.0,78.0,0.0,873.0,0.0,0.0,727.0,0.0
18.3,78.0,0.0,0.0,17.8,22.8,18.3,80.0,59.0,81.0,18.0,934.0,0.0,108.0,749.0,0.0
17.8,84.0,0.0,0.0,18.9,22.2,17.8,75.0,61.0,84.0,181.0,936.0,0.0,397.0,759.0,0.0
17.8,84.0,0.0,0.0,20.0,22.2,18.3,70.0,59.0,78.0,369.0,896.0,0.0,471.0,812.0,0.0
17.2,84.0,0.0,0.0,21.0,21.7,17.2,64.0,63.0,81.0,541.0,779.0,0.0,520.0,771.0,0.0
17.2,84.0,0.0,0.0,21.7,21.7,17.2,66.0,66.0,84.0,711.0,621.0,0.0,568.0,692.0,0.0
17.2,81.0,0.0,0.0,22.2,20.6,17.2,64.0,68.0,84.0,873.0,417.0,0.0,727.0,549.0,0.0
17.8,80.0,18.0,108.0,22.8,20.0,17.8,59.0,70.0,78.0,934.0,186.0,17.0,749.0,214.0,100.0
18.9,75.0,181.0,397.0,22.2,19.4,18.9,61.0,73.0,75.0,936.0,14.0,188.0,759.0,79.0,438.0
20.0,70.0,369.0,471.0,22.2,18.3,20.0,59.0,81.0,70.0,896.0,0.0,401.0,812.0,0.0,625.0
21.0,64.0,541.0,520.0,21.7,18.9,21.7,63.0,78.0,61.0,779.0,0.0,609.0,771.0,0.0,736.0
21.7,66.0,711.0,568.0,21.7,18.3,21.7,66.0,78.0,66.0,621.0,0.0,772.0,692.0,0.0,793.0
22.2,64.0,873.0,727.0,20.6,18.3,22.2,68.0,78.0,64.0,417.0,0.0,891.0,549.0,0.0,810.0
22.8,59.0,934.0,749.0,20.0,18.3,22.2,70.0,81.0,64.0,186.0,0.0,952.0,214.0,0.0,815.0
22.2,61.0,936.0,759.0,19.4,17.8,21.7,73.0,84.0,68.0,14.0,0.0,955.0,79.0,0.0,819.0
22.2,59.0,896.0,812.0,18.3,18.3,21.7,81.0,78.0,66.0,0.0,0.0,896.0,0.0,0.0,812.0
21.7,63.0,779.0,771.0,18.9,17.2,21.7,78.0,81.0,68.0,0.0,0.0,779.0,0.0,0.0,771.0
21.7,66.0,621.0,692.0,18.3,17.2,21.7,78.0,84.0,68.0,0.0,0.0,615.0,0.0,0.0,680.0
20.6,68.0,417.0,549.0,18.3,17.2,20.6,78.0,84.0,70.0,0.0,0.0,385.0,0.0,0.0,438.0
20.0,70.0,186.0,214.0,18.3,17.8,19.4,81.0,78.0,79.0,0.0,17.0,189.0,0.0,100.0,199.0
19.4,73.0,14.0,79.0,17.8,18.9,18.9,84.0,75.0,75.0,0.0,188.0,13.0,0.0,438.0,71.0
18.3,81.0,0.0,0.0,18.3,20.0,18.9,78.0,70.0,75.0,0.0,401.0,0.0,0.0,625.0,0.0
18.9,78.0,0.0,0.0,17.2,21.7,18.9,81.0,61.0,81.0,0.0,609.0,0.0,0.0,736.0,0.0
18.3,78.0,0.0,0.0,17.2,21.7,18.9,84.0,66.0,81.0,0.0,772.0,0.0,0.0,793.0,0.0
18.3,78.0,0.0,0.0,17.2,22.2,18.9,84.0,64.0,81.0,0.0,891.0,0.0,0.0,810.0,0.0
18.3,81.0,0.0,0.0,17.8,22.2,17.8,78.0,64.0,84.0,17.0,952.0,0.0,100.0,815.0,0.0
17.8,84.0,0.0,0.0,18.9,21.7,18.9,75.0,68.0,78.0,188.0,955.0,0.0,438.0,819.0,0.0
18.3,78.0,0.0,0.0,20.0,21.7,18.9,70.0,66.0,78.0,401.0,896.0,0.0,625.0,812.0,0.0
17.2,81.0,0.0,0.0,21.7,21.7,18.9,61.0,68.0,75.0,609.0,779.0,0.0,736.0,771.0,0.0
17.2,84.0,0.0,0.0,21.7,21.7,18.9,66.0,68.0,70.0,772.0,615.0,0.0,793.0,680.0,0.0
17.2,84.0,0.0,0.0,22.2,20.6,19.4,64.0,70.0,66.0,891.0,385.0,0.0,810.0,438.0,0.0
17.8,78.0,17.0,100.0,22.2,19.4,20.0,64.0,79.0,63.0,952.0,189.0,4.0,815.0,199.0,0.0
18.9,75.0,188.0,438.0,21.7,18.9,19.4,68.0,75.0,66.0,955.0,13.0,116.0,819.0,71.0,83.0
20.0,70.0,401.0,625.0,21.7,18.9,20.0,66.0,75.0,63.0,896.0,0.0,269.0,812.0,0.0,114.0
21.7,61.0,609.0,736.0,21.7,18.9,21.1,68.0,81.0,59.0,779.0,0.0,442.0,771.0,0.0,239.0
21.7,66.0,772.0,793.0,21.7,18.9,21.1,68.0,81.0,68.0,615.0,0.0,771.0,680.0,0.0,710.0
22.2,64.0,891.0,810.0,20.6,18.9,21.7,70.0,81.0,63.0,385.0,0.0,891.0,438.0,0.0,810.0
22.2,64.0,952.0,815.0,19.4,17.8,22.2,79.0,84.0,59.0,189.0,0.0,952.0,199.0,0.0,815.0
21.7,68.0,955.0,819.0,18.9,18.9,22.2,75.0,78.0,61.0,13.0,0.0,949.0,71.0,0.0,819.0
21.7,66.0,896.0,812.0,18.9,18.9,21.7,75.0,78.0,66.0,0.0,0.0,890.0,0.0,0.0,813.0
21.7,68.0,779.0,771.0,18.9,18.9,21.1,81.0,75.0,71.0,0.0,0.0,780.0,0.0,0.0,772.0
