Outdoor Drybulb Temperature [C],Outdoor Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],6h Prediction Outdoor Drybulb Temperature [C],12h Prediction Outdoor Drybulb Temperature [C],24h Prediction Outdoor Drybulb Temperature [C],6h Prediction Outdoor Relative Humidity [%],12h Prediction Outdoor Relative Humidity [%],24h Prediction Outdoor Relative Humidity [%],6h Prediction Diffuse Solar Radiation [W/m2],12h Prediction Diffuse Solar Radiation [W/m2],24h Prediction Diffuse Solar Radiation [W/m2],6h Prediction Direct Solar Radiation [W/m2],12h Prediction Direct Solar Radiation [W/m2],24h Prediction Direct Solar Radiation [W/m2]
4.67,62.25,0.00,0.00,0.96,7.74,-1.34,75.68,48.47,83.90,0.00,229.11,0.00,0.00,171.07,0.00
3.74,64.25,0.00,0.00,1.05,7.75,-1.86,75.90,48.35,85.62,34.62,168.30,0.00,27.33,29.29,0.00
2.77,67.50,0.00,0.00,2.33,7.00,-2.26,70.65,49.51,87.00,114.73,86.89,0.00,133.81,1.35,0.00
2.09,68.38,0.00,0.00,4.27,5.94,-3.79,62.40,51.71,96.13,178.68,17.71,0.00,172.02,0.00,0.00
1.59,69.25,0.00,0.00,5.71,4.64,-3.93,56.24,57.35,95.22,205.67,2.19,0.00,261.92,0.00,0.00
1.15,73.75,0.00,0.00,6.86,3.66,-2.54,51.49,61.55,83.45,254.24,0.00,0.00,181.57,0.00,0.00
0.81,76.62,0.00,0.00,7.85,3.36,-3.35,48.11,62.38,84.44,230.86,0.00,0.00,172.38,0.00,0.00
1.07,75.75,34.69,27.38,7.86,2.33,-4.22,47.99,66.06,86.91,169.62,0.00,26.31,29.52,0.00,73.07
2.55,69.38,116.88,136.31,7.13,2.28,-0.49,49.06,66.46,69.55,87.69,0.00,77.84,1.37,0.00,423.93
4.30,62.25,179.12,172.44,6.05,1.14,2.07,51.29,71.92,62.22,17.85,0.00,116.77,0.00,0.00,487.86
5.84,55.62,208.00,264.88,4.84,0.29,3.93,56.55,73.48,52.44,2.22,0.00,151.07,0.00,0.00,431.32
7.09,50.50,259.31,185.19,3.93,-0.39,5.83,60.40,76.88,44.45,0.00,0.00,127.13,0.00,0.00,561.45
7.94,47.75,232.62,173.69,3.41,-1.10,8.77,62.13,82.51,37.92,0.00,0.00,138.96,0.00,0.00,620.60
7.95,47.62,170.94,29.75,2.53,-1.70,10.31,65.15,84.62,34.31,0.00,0.00,123.17,0.00,0.00,650.99
7.24,48.62,88.50,1.38,2.11,-2.22,8.28,67.29,86.75,40.74,0.00,0.00,68.66,0.00,0.00,545.73
6.15,50.88,18.00,0.00,1.20,-3.20,9.53,71.58,92.38,37.98,0.00,0.00,51.11,0.00,0.00,416.57
5.01,55.75,2.25,0.00,0.44,-3.44,8.24,72.74,92.11,41.76,0.00,0.00,9.07,0.00,0.00,32.31
4.16,59.25,0.00,0.00,-0.29,-2.93,4.42,76.32,85.92,59.40,0.00,0.00,0.00,0.00,0.00,0.00
3.46,61.88,0.00,0.00,-0.98,-3.44,5.45,81.81,84.97,55.81,0.00,0.00,0.00,0.00,0.00,0.00
2.70,64.25,0.00,0.00,-1.61,-3.64,2.89,84.12,83.58,66.55,0.00,27.50,0.00,0.00,76.38,0.00
1.96,68.12,0.00,0.00,-2.20,-0.58,4.28,86.62,70.03,61.42,0.00,77.33,0.00,0.00,421.12,0.00
1.26,71.25,0.00,0.00,-2.90,2.28,2.22,90.50,61.30,70.86,0.00,118.60,0.00,0.00,495.52,0.00
0.56,72.00,0.00,0.00,-3.20,4.44,0.38,90.55,50.66,80.28,0.00,157.01,0.00,0.00,448.25,0.00
-0.20,75.75,0.00,0.00,-3.12,6.44,-0.42,87.15,42.67,80.29,0.00,133.22,0.00,0.00,588.35,0.00
-0.88,81.12,0.00,0.00,-3.48,8.69,1.20,85.23,38.15,66.32,0.00,138.13,0.00,0.00,616.93,0.00
-1.54,83.62,0.00,0.00,-3.35,9.84,-0.80,81.92,35.53,74.26,28.09,119.34,0.00,78.04,630.71,0.00
-2.18,86.50,0.00,0.00,-0.63,8.93,-2.86,70.26,38.99,86.13,77.07,72.20,0.00,419.72,573.92,0.00
-2.65,88.62,0.00,0.00,2.39,9.09,-3.27,60.84,39.24,88.41,119.52,49.62,0.00,499.36,404.38,0.00
-2.99,89.00,0.00,0.00,4.69,7.54,-1.74,49.77,44.07,76.50,159.97,8.66,0.00,456.72,30.84,0.00
-3.29,88.38,0.00,0.00,6.75,5.03,-3.52,41.77,57.01,86.11,136.26,0.00,0.00,601.80,0.00,0.00
-3.52,85.50,0.00,0.00,8.65,5.11,-4.31,38.26,57.21,94.61,137.72,0.00,0.00,615.09,0.00,0.00
-3.10,80.25,28.69,79.69,9.61,3.47,-3.59,36.14,64.02,90.38,117.42,0.00,28.61,620.58,0.00,13.68
-0.67,70.50,76.81,418.31,9.26,3.72,-0.57,38.12,64.08,74.97,73.98,0.00,123.27,588.02,0.00,89.69
2.48,60.38,120.44,503.19,8.88,2.28,0.50,39.87,70.55,72.09,48.87,0.00,184.32,398.28,0.00,131.37
4.91,48.88,162.94,465.19,7.19,0.96,2.42,45.22,77.20,62.73,8.46,0.00,229.77,30.11,0.00,101.75
7.01,40.88,139.31,615.25,5.34,0.16,3.77,55.82,77.21,58.53,0.00,0.00,243.52,0.00,0.00,58.52
8.61,38.38,137.31,613.25,4.94,0.55,3.14,57.92,69.66,62.84,0.00,0.00,223.53,0.00,0.00,79.49
9.41,36.75,115.50,610.44,3.75,-0.80,4.17,62.76,74.25,59.71,0.00,0.00,190.88,0.00,0.00,112.67
9.54,37.25,75.75,602.12,3.44,-2.21,5.68,65.42,82.44,53.54,0.00,0.00,145.71,0.00,0.00,241.96
8.69,40.50,48.12,392.19,2.31,-2.69,3.93,70.40,85.02,61.34,0.00,0.00,70.69,0.00,0.00,69.37
6.89,46.38,8.25,29.38,1.25,-2.16,2.84,75.66,78.94,65.86,0.00,0.00,6.47,0.00,0.00,4.40
5.60,54.62,0.00,0.00,0.45,-3.20,2.43,75.66,84.18,67.28,0.00,0.00,0.00,0.00,0.00,0.00
4.80,58.62,0.00,0.00,0.23,-3.73,0.94,71.33,90.99,74.67,0.00,0.00,0.00,0.00,0.00,0.00
4.00,61.50,0.00,0.00,-0.80,-3.31,1.57,74.25,88.63,71.71,0.00,29.21,0.00,0.00,13.96,0.00
3.20,66.75,0.00,0.00,-1.88,-1.06,0.83,80.59,77.79,75.10,0.00,119.23,0.00,0.00,86.75,0.00
2.34,70.25,0.00,0.00,-2.40,0.59,1.19,83.32,71.61,73.88,0.00,185.60,0.00,0.00,132.28,0.00
1.50,74.12,0.00,0.00,-2.37,2.43,-0.47,80.16,62.68,80.06,0.00,229.98,0.00,0.00,101.85,0.00
0.70,74.12,0.00,0.00,-3.03,3.60,-0.64,83.22,59.26,78.06,0.00,240.60,0.00,0.00,57.82,0.00
-0.04,73.00,0.00,0.00,-3.44,3.63,-0.36,89.19,60.79,77.80,0.00,231.89,0.00,0.00,82.47,0.00
-0.80,74.25,0.00,0.00,-3.17,4.30,-2.94,87.75,59.17,96.41,29.51,192.69,0.00,14.11,113.74,0.00
-1.60,78.75,0.00,0.00,-1.31,5.10,-1.71,79.21,55.96,90.77,117.21,140.14,0.00,85.28,232.70,0.00
-2.15,81.62,0.00,0.00,0.64,3.96,-1.63,71.36,61.23,91.36,186.24,70.81,0.00,132.73,69.50,0.00
-2.55,81.38,0.00,0.00,2.43,2.82,-1.76,62.65,65.99,92.92,230.09,6.45,0.00,101.89,4.39,0.00
-2.89,82.25,0.00,0.00,3.51,2.17,-3.02,59.63,68.58,100.00,239.15,0.00,0.00,57.47,0.00,0.00
-3.19,87.38,0.00,0.00,3.87,1.17,-3.32,59.77,73.46,100.00,236.07,0.00,0.00,83.95,0.00,0.00
-3.05,86.88,29.81,14.25,4.36,1.22,-2.59,58.89,73.61,99.81,193.60,0.00,31.82,114.28,0.00,19.89
-1.52,80.62,115.19,83.81,4.81,0.60,-0.54,57.17,76.36,87.04,137.35,0.00,107.85,228.07,0.00,97.17
0.68,71.12,186.88,133.19,3.97,0.52,1.89,61.17,77.81,73.60,70.88,0.00,175.34,69.56,0.00,97.72
2.44,62.62,230.19,101.94,2.80,-0.54,5.82,66.05,80.47,55.68,6.45,0.00,256.94,4.38,0.00,128.97
3.44,60.00,237.69,57.12,2.04,-0.88,7.11,69.23,79.47,49.89,0.00,0.00,265.07,0.00,0.00,93.35
4.08,58.75,240.25,85.44,1.29,-0.91,7.39,72.86,81.15,50.36,0.00,0.00,231.98,0.00,0.00,31.99
4.42,58.62,194.50,114.81,1.04,-2.26,8.17,74.55,92.14,47.69,0.00,0.00,207.83,0.00,0.00,39.36
4.56,58.38,134.56,223.44,0.49,-1.77,8.44,76.99,91.13,47.08,0.00,0.00,161.05,0.00,0.00,80.62
3.98,61.12,70.94,69.62,0.18,-1.80,8.04,79.78,92.49,48.69,0.00,0.00,83.11,0.00,0.00,46.11
2.79,66.12,6.44,4.38,-0.58,-1.88,6.32,80.68,93.77,55.89,0.00,0.00,7.15,0.00,0.00,3.24
1.93,69.88,0.00,0.00,-1.01,-2.52,5.57,80.17,97.09,58.55,0.00,0.00,0.00,0.00,0.00,0.00
1.39,72.25,0.00,0.00,-1.19,-2.69,2.94,82.83,99.81,71.16,0.00,0.00,0.00,0.00,0.00,0.00
0.89,75.50,0.00,0.00,-1.92,-2.04,2.53,90.01,96.22,73.08,0.00,33.16,0.00,0.00,20.72,0.00
0.39,77.62,0.00,0.00,-1.80,-0.04,0.99,91.32,84.14,78.10,0.00,111.98,0.00,0.00,100.89,0.00
-0.11,81.75,0.00,0.00,-1.89,2.35,0.16,93.06,71.36,79.68,0.00,181.42,0.00,0.00,101.11,0.00
-0.61,80.88,0.00,0.00,-1.95,5.32,1.21,94.20,57.84,69.18,0.00,248.32,0.00,0.00,124.64,0.00
-1.11,80.88,0.00,0.00,-2.27,6.75,-1.55,95.42,51.26,78.66,0.00,258.53,0.00,0.00,91.05,0.00
-1.43,84.50,0.00,0.00,-2.37,7.26,-0.64,97.66,50.80,72.02,0.00,229.99,0.00,0.00,31.71,0.00
-1.63,87.88,0.00,0.00,-1.77,7.75,-3.52,94.42,49.22,86.58,33.83,201.91,0.00,21.14,38.24,0.00
-1.82,91.50,0.00,0.00,0.21,7.87,-5.66,82.70,49.17,98.75,114.05,154.99,0.00,102.76,77.59,0.00
-1.96,93.62,0.00,0.00,2.58,7.37,-6.36,70.24,51.29,100.00,184.46,79.46,0.00,102.81,44.09,0.00
-2.00,94.62,0.00,0.00,5.07,5.91,-6.72,58.92,57.64,100.00,244.00,6.95,0.00,122.48,3.15,0.00
-2.06,93.75,0.00,0.00,6.57,4.98,-5.25,51.94,61.21,88.32,255.27,0.00,0.00,89.90,0.00,0.00
-2.10,95.50,0.00,0.00,7.20,3.25,-7.06,51.03,69.64,93.63,228.99,0.00,0.00,31.58,0.00,0.00
-1.54,92.62,34.50,21.56,7.54,2.59,-5.81,49.98,72.79,80.92,198.96,0.00,27.20,37.68,0.00,115.85
0.42,81.25,116.12,104.62,7.58,1.38,-3.97,50.21,76.05,71.40,151.97,0.00,55.55,76.08,0.00,572.20
2.77,69.12,187.50,104.50,7.03,0.51,-0.87,52.58,77.78,59.71,77.64,0.00,68.59,43.07,0.00,709.11
4.85,60.00,239.69,120.31,5.71,0.55,2.89,58.51,72.78,45.16,6.85,0.00,72.98,3.10,0.00,860.51
6.41,52.62,252.00,88.75,4.69,-1.24,4.55,62.55,77.02,39.60,0.00,0.00,75.47,0.00,0.00,839.91
7.15,51.25,228.00,31.44,3.41,-1.34,4.78,68.88,76.01,37.23,0.00,0.00,68.31,0.00,0.00,752.76
7.36,50.75,196.00,37.12,2.62,-3.33,7.93,72.64,85.42,28.54,0.00,0.00,70.67,0.00,0.00,881.37
7.34,51.25,148.94,74.56,1.57,-4.98,6.81,75.02,94.37,31.39,0.00,0.00,54.78,0.00,0.00,746.50
6.74,53.88,75.81,42.06,0.69,-5.75,4.76,76.83,99.67,36.96,0.00,0.00,35.64,0.00,0.00,478.90
5.53,59.38,6.75,3.06,0.22,-6.23,3.78,74.58,99.73,40.54,0.00,0.00,7.09,0.00,0.00,38.84
4.44,63.88,0.00,0.00,-1.09,-5.77,1.12,76.20,91.85,51.80,0.00,0.00,0.00,0.00,0.00,0.00
3.54,68.12,0.00,0.00,-1.69,-6.88,2.22,78.01,92.44,49.23,0.00,0.00,0.00,0.00,0.00,0.00
2.64,72.50,0.00,0.00,-3.23,-6.12,1.51,84.83,82.77,52.90,0.00,26.63,0.00,0.00,113.43,0.00
1.74,74.00,0.00,0.00,-4.64,-3.91,-0.44,92.19,71.07,61.04,0.00,55.80,0.00,0.00,574.85,0.00
0.84,75.88,0.00,0.00,-5.44,-0.71,-2.10,97.59,59.05,71.69,0.00,69.39,0.00,0.00,717.40,0.00
-0.06,76.38,0.00,0.00,-5.99,2.55,-2.65,98.06,46.33,77.55,0.00,71.27,0.00,0.00,840.35,0.00
-0.96,75.38,0.00,0.00,-6.03,4.50,-2.54,93.62,39.74,77.45,0.00,75.21,0.00,0.00,836.95,0.00
-1.99,80.00,0.00,0.00,-6.79,5.38,-4.27,91.84,35.74,88.03,0.00,71.56,0.00,0.00,788.60,0.00
-3.15,84.25,0.00,0.00,-6.27,7.30,-4.09,83.69,29.96,83.28,26.34,67.74,0.00,112.21,844.84,0.00
-4.35,90.00,0.00,0.00,-3.88,6.76,-6.94,70.91,31.51,99.37,55.93,54.58,0.00,576.18,743.81,0.00
-5.18,95.50,0.00,0.00,-0.63,5.26,-6.99,58.71,35.73,96.07,69.79,37.01,0.00,721.55,497.33,0.00
-5.78,96.38,0.00,0.00,2.38,3.80,-6.87,46.92,40.46,89.90,70.41,7.11,0.00,830.27,38.92,0.00
-6.25,95.38,0.00,0.00,4.47,1.77,-6.39,39.81,49.59,82.84,75.07,0.00,0.00,835.48,0.00,0.00
-6.71,91.25,0.00,0.00,5.69,1.79,-7.45,34.99,50.86,91.77,73.18,0.00,0.00,806.52,0.00,0.00
-6.40,84.62,26.06,111.00,6.98,0.93,-7.10,30.67,55.33,95.34,66.27,0.00,28.47,826.57,0.00,103.09
-3.85,70.75,56.06,577.50,6.73,-0.53,-3.87,31.56,61.46,81.23,54.48,0.00,87.07,742.47,0.00,498.46
-0.56,58.38,70.19,725.69,5.51,-1.85,0.37,35.12,70.47,61.29,37.69,0.00,168.23,506.54,0.00,412.10
2.23,47.50,69.56,820.19,3.82,-2.63,0.80,40.42,77.46,54.83,7.11,0.00,210.15,38.96,0.00,259.14
4.45,39.88,74.94,834.00,2.10,-3.07,2.68,48.48,80.60,46.20,0.00,0.00,199.26,0.00,0.00,401.89
5.95,34.25,74.81,824.44,1.57,-4.31,2.97,51.68,88.26,45.91,0.00,0.00,166.72,0.00,0.00,413.64
6.71,31.38,64.81,808.31,0.63,-4.61,5.82,56.54,86.64,34.88,0.00,0.00,185.44,0.00,0.00,449.06
6.71,31.62,54.38,741.12,-0.58,-6.37,4.19,61.67,95.62,37.40,0.00,0.00,100.48,0.00,0.00,530.25
5.72,34.50,38.38,515.75,-1.73,-6.66,3.76,69.86,93.91,39.22,0.00,0.00,59.44,0.00,0.00,418.39
3.83,40.38,7.12,39.00,-2.63,-6.81,3.07,77.42,89.51,42.35,0.00,0.00,11.65,0.00,0.00,34.30
2.38,47.38,0.00,0.00,-3.33,-6.75,2.60,82.18,85.11,48.89,0.00,0.00,0.00,0.00,0.00,0.00
1.38,52.50,0.00,0.00,-4.32,-7.42,1.93,88.38,91.58,53.96,0.00,0.00,0.00,0.00,0.00,0.00
0.38,57.75,0.00,0.00,-4.88,-7.05,1.04,88.32,94.98,56.84,0.00,28.58,0.00,0.00,103.49,0.00
-0.62,61.88,0.00,0.00,-6.08,-3.98,-1.32,93.75,81.86,64.41,0.00,86.41,0.00,0.00,494.67,0.00
-1.62,69.25,0.00,0.00,-6.49,-0.27,-1.79,92.83,64.39,66.51,0.00,161.15,0.00,0.00,394.74,0.00
-2.62,77.38,0.00,0.00,-6.78,0.95,-3.57,89.32,54.22,75.30,0.00,212.58,0.00,0.00,262.13,0.00
-3.56,83.75,0.00,0.00,-6.93,2.69,-2.49,86.25,46.16,66.90,0.00,199.44,0.00,0.00,402.26,0.00
-4.34,88.50,0.00,0.00,-7.40,3.53,-4.46,91.48,44.20,77.21,0.00,173.99,0.00,0.00,431.67,0.00
-5.10,90.00,0.00,0.00,-7.02,5.27,-4.57,94.80,36.38,78.07,28.64,178.62,0.00,103.68,432.56,0.00
-5.84,91.88,0.00,0.00,-4.03,4.59,-6.98,82.18,36.39,89.64,86.08,103.52,0.00,492.78,546.28,0.00
-6.35,91.75,0.00,0.00,-0.59,4.08,-6.09,65.95,38.36,80.76,157.60,60.88,0.00,386.06,428.48,0.00
-6.75,89.12,0.00,0.00,1.03,2.90,-7.59,53.92,42.86,87.56,213.79,11.52,0.00,263.63,33.90,0.00
-7.09,87.38,0.00,0.00,2.69,2.00,-6.22,46.14,51.20,75.87,199.53,0.00,0.00,402.44,0.00,0.00
-7.39,91.38,0.00,0.00,3.81,1.24,-7.22,43.35,56.92,81.85,177.62,0.00,0.00,440.68,0.00,0.00
-7.00,94.62,28.69,103.88,4.99,0.36,-7.61,37.13,59.86,85.98,175.22,0.00,25.86,424.31,0.00,117.10
-4.08,82.50,85.75,490.88,4.79,-1.21,-5.32,35.88,63.89,74.18,105.04,0.00,47.46,554.29,0.00,577.25
-0.87,67.50,154.06,377.38,4.24,-1.88,-1.15,37.93,66.95,58.67,61.59,0.00,85.17,433.52,0.00,671.40
1.10,53.62,215.00,265.12,2.82,-3.17,2.16,43.12,73.27,42.64,11.45,0.00,159.03,33.70,0.00,532.73
