 dm	 m	 h	G_Dh	G_h	 Ta	 FF	 DD	 RH	RR	N
 5	 1	 14	265	306	14.8	2.7	219	45	0.0	8
 5	 1	 15	248	294	15.4	2.5	124	43	0.0	8
 5	 1	 16	163	246	15.6	2.5	183	43	0.0	6
 5	 1	 17	109	205	15.4	3.4	191	44	0.0	5
 5	 1	 18	14	14	13.6	4.1	101	51	0.0	5
 5	 1	 19	0	0	12.9	4.1	28	56	0.0	5
 5	 1	 20	0	0	12.2	2.8	27	59	0.0	5
 5	 1	 21	0	0	11.5	3.9	119	59	0.0	5
 5	 1	 22	0	0	10.8	4.1	104	64	0.0	6
 5	 1	 23	0	0	10.1	3.6	80	68	0.0	6
 5	 1	 24	0	0	9.5	3.9	78	68	0.0	6
 6	 1	 1	0	0	8.9	5.3	93	68	0.0	6
 6	 1	 2	0	0	8.4	5.6	330	70	0.0	7
 6	 1	 3	0	0	7.8	5.6	1	73	0.0	7
 6	 1	 4	0	0	7.5	5.3	4	77	0.0	7
 6	 1	 5	0	0	7.2	5.1	28	79	0.0	7
 6	 1	 6	0	0	7.0	4.8	12	82	0.0	7
 6	 1	 7	0	0	6.8	5.1	34	85	0.1	8
 6	 1	 8	1	1	6.9	5.1	48	82	0.0	8
 6	 1	 9	27	27	7.4	4.6	9	85	0.0	8
 6	 1	 10	70	70	8.3	3.4	25	79	0.0	8
 6	 1	 11	109	109	9.1	3.9	169	76	0.0	8
 6	 1	 12	137	137	9.9	4.3	171	71	0.0	8
 6	 1	 13	150	150	10.5	5.6	114	70	0.0	8
 6	 1	 14	141	141	10.8	5.9	30	64	0.0	8
 6	 1	 15	110	110	10.9	6.0	1	66	0.0	8
 6	 1	 16	90	90	10.9	5.6	343	64	0.0	8
 6	 1	 17	44	44	10.4	4.1	19	81	0.2	8
 6	 1	 18	3	3	9.8	2.5	165	83	0.4	8
 6	 1	 19	0	0	9.0	2.5	221	83	0.7	8
 6	 1	 20	0	0	7.9	1.8	215	87	2.1	8
 6	 1	 21	0	0	7.6	2.1	258	87	0.0	8
 6	 1	 22	0	0	6.8	1.5	209	87	0.0	7
 6	 1	 23	0	0	6.1	1.5	288	87	0.0	7
 6	 1	 24	0	0	5.3	1.1	300	88	0.0	7
 7	 1	 1	0	0	4.5	0.9	301	92	0.0	7
 7	 1	 2	0	0	3.6	0.7	304	93	0.0	7
 7	 1	 3	0	0	2.7	0.9	309	98	0.0	7
 7	 1	 4	0	0	2.3	1.1	333	98	0.0	7
 7	 1	 5	0	0	1.8	0.9	273	98	0.0	7
 7	 1	 6	0	0	1.5	0.8	301	98	0.0	7
 7	 1	 7	0	0	1.2	0.6	308	91	0.0	7
 7	 1	 8	1	1	1.2	0.8	302	92	0.0	6
 7	 1	 9	74	109	3.9	0.9	270	81	0.0	6
 7	 1	 10	128	257	7.3	1.0	292	69	0.0	5
 7	 1	 11	161	436	11.3	1.3	272	49	0.0	4
 7	 1	 12	218	476	14.1	1.6	318	42	0.0	5
 7	 1	 13	254	483	16.0	1.4	237	34	0.0	5
 7	 1	 14	212	499	17.4	2.1	280	31	0.0	4
 7	 1	 15	194	405	17.9	2.2	221	31	0.0	5
 7	 1	 16	186	264	17.2	1.7	200	34	0.0	7
 7	 1	 17	88	126	15.4	1.9	260	39	0.0	7
 7	 1	 18	3	3	13.0	2.1	257	48	0.0	7
 7	 1	 19	0	0	12.2	2.2	191	59	0.0	7
 7	 1	 20	0	0	11.4	2.2	177	63	0.0	7
 7	 1	 21	0	0	10.6	1.7	178	68	0.0	7
 7	 1	 22	0	0	9.7	1.8	152	71	0.0	7
 7	 1	 23	0	0	8.9	1.7	172	73	0.0	7
 7	 1	 24	0	0	8.1	1.7	185	75	0.0	7
 8	 1	 1	0	0	7.4	1.8	195	74	0.0	7
 8	 1	 2	0	0	6.7	1.9	145	76	0.0	7
 8	 1	 3	0	0	5.9	2.2	189	81	0.0	7
 8	 1	 4	0	0	5.5	1.6	174	83	0.0	8
 8	 1	 5	0	0	5.1	1.2	191	85	0.0	8
 8	 1	 6	0	0	4.9	0.8	294	93	0.0	8
 8	 1	 7	0	0	4.6	0.6	303	95	0.0	8
 8	 1	 8	1	1	4.6	0.7	302	93	0.0	8
 8	 1	 9	44	44	5.5	0.9	304	85	0.0	8
 8	 1	 10	101	101	6.7	1.2	268	78	0.0	8
 8	 1	 11	145	145	7.7	1.9	241	72	0.0	8
 8	 1	 12	187	189	8.7	2.4	148	69	0.0	8
 8	 1	 13	200	203	9.5	3.0	130	67	0.0	8
 8	 1	 14	197	200	10.0	4.1	73	65	0.0	8
 8	 1	 15	166	166	10.2	3.2	26	61	0.0	8
 8	 1	 16	113	113	10.0	2.1	104	64	0.0	8
 8	 1	 17	55	55	9.3	3.0	152	67	0.0	8
 8	 1	 18	3	3	8.5	3.4	99	71	0.0	8
 8	 1	 19	0	0	7.9	3.0	80	71	0.0	8
 8	 1	 20	0	0	7.3	2.7	77	70	0.0	8
 8	 1	 21	0	0	6.7	3.0	158	71	0.0	8
 8	 1	 22	0	0	6.2	4.3	131	72	0.0	8
 8	 1	 23	0	0	5.6	4.6	26	74	0.0	8
 8	 1	 24	0	0	5.0	5.3	25	76	0.0	8
 9	 1	 1	0	0	4.6	4.3	333	76	0.0	8
 9	 1	 2	0	0	4.2	5.1	31	79	0.0	8
 9	 1	 3	0	0	3.8	5.1	43	83	0.0	8
 9	 1	 4	0	0	3.6	4.8	35	86	0.1	8
 9	 1	 5	0	0	3.4	4.3	10	89	0.0	8
 9	 1	 6	0	0	3.3	3.9	9	89	0.0	8
 9	 1	 7	0	0	3.1	4.6	98	91	0.0	8
 9	 1	 8	1	1	3.2	4.6	31	90	0.0	8
 9	 1	 9	37	37	4.0	3.4	30	83	0.0	8
 9	 1	 10	85	85	5.0	4.3	105	76	0.0	8
 9	 1	 11	117	117	5.9	4.6	75	73	0.0	8
 9	 1	 12	124	124	6.5	4.8	16	69	0.0	8
 9	 1	 13	148	148	7.1	3.9	61	68	0.0	8
 9	 1	 14	136	136	7.4	3.2	176	67	0.0	8
 9	 1	 15	139	139	7.7	3.4	128	67	0.0	8
 9	 1	 16	85	85	7.5	3.0	144	73	0.0	8
 9	 1	 17	35	35	7.0	3.2	105	75	0.0	8
 9	 1	 18	3	3	6.3	4.6	110	78	0.0	8
 9	 1	 19	0	0	6.0	5.1	18	81	0.0	8
 9	 1	 20	0	0	5.7	4.8	18	83	0.0	8
 9	 1	 21	0	0	5.3	4.6	47	82	0.0	8
 9	 1	 22	0	0	5.0	4.3	31	86	0.3	8
 9	 1	 23	0	0	4.7	3.6	91	92	0.0	8
 9	 1	 24	0	0	4.2	3.9	129	91	0.9	8
 10	 1	 1	0	0	4.1	3.6	168	98	0.0	8
 10	 1	 2	0	0	3.9	4.8	126	98	0.0	8
 10	 1	 3	0	0	3.7	3.9	39	98	0.0	8
 10	 1	 4	0	0	3.6	3.2	177	98	0.1	8
 10	 1	 5	0	0	3.6	3.6	146	98	0.0	8
 10	 1	 6	0	0	3.5	4.1	139	98	0.0	8
 10	 1	 7	0	0	3.5	3.6	102	98	0.0	8
 10	 1	 8	1	1	3.6	3.2	132	96	0.0	8
 10	 1	 9	43	43	4.7	3.4	111	92	0.0	8
 10	 1	 10	93	93	6.0	4.8	146	83	0.0	8
 10	 1	 11	137	137	7.3	6.0	15	69	0.0	8
 10	 1	 12	164	164	8.3	5.3	357	67	0.0	8
 10	 1	 13	175	175	9.1	6.0	25	67	0.0	8
 10	 1	 14	170	170	9.7	6.7	354	62	0.0	8
 10	 1	 15	148	148	10.0	7.7	7	60	0.0	8
 10	 1	 16	107	107	9.9	7.7	356	58	0.0	8
 10	 1	 17	56	56	9.4	6.7	358	57	0.0	8
 10	 1	 18	3	3	8.6	9.4	310	57	0.0	8
 10	 1	 19	0	0	7.7	9.0	348	63	0.0	8
 10	 1	 20	0	0	6.9	7.7	353	68	0.0	7
 10	 1	 21	0	0	6.0	6.5	0	67	0.0	7
 10	 1	 22	0	0	5.2	5.1	353	69	0.0	7
 10	 1	 23	0	0	4.4	5.1	100	71	0.0	7
 10	 1	 24	0	0	3.5	5.6	78	74	0.0	7
 11	 1	 1	0	0	2.3	4.3	57	80	0.0	7
 11	 1	 2	0	0	1.0	4.1	98	86	0.0	6
 11	 1	 3	0	0	-0.2	5.6	109	89	0.0	6
 11	 1	 4	0	0	-0.9	4.8	55	93	0.0	6
 11	 1	 5	0	0	-1.6	4.1	86	92	0.0	6
 11	 1	 6	0	0	-2.0	5.1	26	91	0.0	6
 11	 1	 7	0	0	-2.5	4.8	39	86	0.0	6
 11	 1	 8	4	4	-2.3	4.3	20	83	0.0	5
 11	 1	 9	85	144	1.2	6.2	27	75	0.0	5
 11	 1	 10	65	322	5.4	6.5	331	61	0.0	0
 11	 1	 11	77	481	9.5	6.5	347	42	0.0	0
 11	 1	 12	93	572	12.8	6.0	356	34	0.0	0
 11	 1	 13	115	602	15.3	6.3	53	28	0.0	0
 11	 1	 14	114	575	16.9	4.8	33	25	0.0	0
 11	 1	 15	99	490	17.5	7.4	182	24	0.0	0
 11	 1	 16	75	360	17.1	8.0	2	24	0.0	0
 11	 1	 17	100	188	15.2	8.0	333	26	0.0	5
 11	 1	 18	13	13	12.3	9.8	324	33	0.0	5
 11	 1	 19	0	0	10.8	8.0	358	43	0.0	5
 11	 1	 20	0	0	9.2	6.7	342	49	0.0	5
 11	 1	 21	0	0	7.7	6.0	325	52	0.0	5
 11	 1	 22	0	0	6.1	5.9	357	56	0.0	5
 11	 1	 23	0	0	4.6	5.7	10	60	0.0	5
 11	 1	 24	0	0	3.0	6.0	338	65	0.0	5
 12	 1	 1	0	0	1.7	7.7	357	69	0.0	5
 12	 1	 2	0	0	0.1	7.2	3	74	0.0	5
 12	 1	 3	0	0	-1.4	6.2	310	81	0.0	5
 12	 1	 4	0	0	-2.3	5.3	19	85	0.0	5
 12	 1	 5	0	0	-3.2	5.1	84	86	0.0	5
 12	 1	 6	0	0	-3.8	4.8	87	92	0.0	5
 12	 1	 7	0	0	-4.5	5.7	71	97	0.0	5
 12	 1	 8	5	5	-4.5	3.9	36	99	0.0	5
 12	 1	 9	95	170	-1.4	3.2	107	86	0.0	5
 12	 1	 10	129	392	2.4	3.2	172	72	0.0	2
 12	 1	 11	220	344	3.7	3.0	145	65	0.0	6
 12	 1	 12	202	210	3.4	2.4	195	64	0.0	8
 12	 1	 13	56	56	2.1	3.0	245	67	0.0	8
 12	 1	 14	240	268	2.3	3.2	145	62	0.0	8
 12	 1	 15	245	387	3.0	3.0	176	62	0.0	6
 12	 1	 16	152	352	3.3	2.5	130	64	0.0	4
 12	 1	 17	84	90	2.1	3.0	182	71	0.0	8
 12	 1	 18	3	3	0.5	3.9	183	76	0.0	8
 12	 1	 19	0	0	-0.5	4.6	162	81	0.0	8
 12	 1	 20	0	0	-1.5	2.8	51	84	0.0	8
 12	 1	 21	0	0	-2.5	2.8	181	92	0.0	8
 12	 1	 22	0	0	-3.5	2.4	169	93	0.0	8
 12	 1	 23	0	0	-4.5	1.8	218	97	0.0	8
 12	 1	 24	0	0	-5.5	1.1	287	98	0.0	8
 13	 1	 1	0	0	-5.6	1.2	319	96	0.0	8
 13	 1	 2	0	0	-5.8	1.3	310	93	0.0	8
 13	 1	 3	0	0	-6.0	2.2	284	94	0.0	8
 13	 1	 4	0	0	-6.1	3.4	153	91	0.0	8
 13	 1	 5	0	0	-6.2	2.2	116	89	0.0	8
 13	 1	 6	0	0	-6.3	2.8	149	85	0.0	8
 13	 1	 7	0	0	-6.4	3.4	116	89	0.0	8
 13	 1	 8	3	3	-6.3	3.2	28	90	0.0	8
 13	 1	 9	74	89	-4.1	3.2	94	85	0.0	7
 13	 1	 10	125	286	0.0	3.9	105	72	0.0	4
 13	 1	 11	112	467	4.4	4.6	83	52	0.0	0
 13	 1	 12	180	529	7.6	4.1	108	40	0.0	3
 13	 1	 13	287	462	9.2	4.1	144	36	0.0	6
 13	 1	 14	289	419	10.0	4.1	128	34	0.0	7
 13	 1	 15	219	395	10.4	3.6	114	34	0.0	6
 13	 1	 16	196	270	9.8	3.4	193	34	0.0	7
 13	 1	 17	108	165	8.3	3.4	139	41	0.0	6
 13	 1	 18	4	4	5.8	4.1	185	49	0.0	6
 13	 1	 19	0	0	5.2	5.6	130	60	0.0	6
 13	 1	 20	0	0	4.6	4.3	29	64	0.0	6
 13	 1	 21	0	0	4.0	2.8	77	65	0.0	7
 13	 1	 22	0	0	3.4	2.7	145	68	0.0	7
 13	 1	 23	0	0	2.8	3.9	128	68	0.0	7
 13	 1	 24	0	0	2.2	2.7	23	71	0.0	7
 14	 1	 1	0	0	1.8	3.2	137	70	0.0	7
 14	 1	 2	0	0	1.3	2.8	136	71	0.0	7
 14	 1	 3	0	0	0.9	1.7	106	76	0.0	7
 14	 1	 4	0	0	0.7	1.5	273	79	0.0	7
 14	 1	 5	0	0	0.5	1.4	260	78	0.0	8
 14	 1	 6	0	0	0.3	1.3	283	83	0.0	8
 14	 1	 7	0	0	0.2	1.0	314	82	0.0	8
 14	 1	 8	1	1	0.2	1.1	307	81	0.0	8
 14	 1	 9	61	61	1.8	1.5	287	75	0.0	8
 14	 1	 10	131	133	3.6	1.6	285	68	0.0	8
 14	 1	 11	194	200	5.4	1.3	262	62	0.0	8
 14	 1	 12	235	245	6.9	1.2	284	58	0.0	8
 14	 1	 13	244	252	8.0	0.7	291	53	0.0	8
 14	 1	 14	222	227	8.6	0.4	311	55	0.0	8
 14	 1	 15	199	204	8.9	0.8	299	54	0.0	8
 14	 1	 16	152	155	8.8	1.0	313	52	0.0	8
 14	 1	 17	89	90	8.1	1.1	271	52	0.0	8
 14	 1	 18	9	9	6.8	1.3	285	55	0.0	8
 14	 1	 19	0	0	6.1	1.3	254	55	0.0	8
 14	 1	 20	0	0	5.5	1.7	271	56	0.0	8
 14	 1	 21	0	0	4.8	2.4	158	55	0.0	8
 14	 1	 22	0	0	4.1	2.2	158	57	0.0	8
 14	 1	 23	0	0	3.4	2.2	184	61	0.0	8
 14	 1	 24	0	0	2.7	2.2	131	63	0.0	8
 15	 1	 1	0	0	2.0	2.4	106	71	0.0	8
 15	 1	 2	0	0	1.3	2.7	121	74	0.0	8
 15	 1	 3	0	0	0.7	3.0	142	79	0.0	8
 15	 1	 4	0	0	0.3	3.9	77	81	0.0	8
 15	 1	 5	0	0	0.0	4.3	21	80	0.0	8
 15	 1	 6	0	0	-0.2	4.8	20	86	0.0	8
 15	 1	 7	0	0	-0.5	4.8	328	87	0.0	8
 15	 1	 8	2	2	-0.4	5.6	355	83	0.0	8
 15	 1	 9	69	73	1.4	4.3	355	76	0.0	8
 15	 1	 10	158	171	3.5	3.6	35	67	0.0	8
 15	 1	 11	234	252	5.6	2.7	88	62	0.0	8
 15	 1	 12	260	275	7.1	2.1	169	58	0.0	8
 15	 1	 13	274	293	8.2	1.9	174	52	0.0	8
 15	 1	 14	258	270	8.8	2.4	206	50	0.0	8
 15	 1	 15	205	210	8.9	3.4	158	51	0.0	8
 15	 1	 16	150	152	8.5	5.1	87	52	0.0	8
 15	 1	 17	81	81	7.6	4.8	42	55	0.0	8
 15	 1	 18	4	4	6.3	5.6	24	56	0.0	8
 15	 1	 19	0	0	5.3	6.5	347	58	0.0	8
 15	 1	 20	0	0	4.3	6.7	12	62	0.0	8
 15	 1	 21	0	0	3.3	6.7	7	69	0.0	7
 15	 1	 22	0	0	2.4	6.9	352	71	0.0	7
 15	 1	 23	0	0	1.4	6.9	4	71	0.0	7
 15	 1	 24	0	0	0.4	5.9	11	75	0.0	7
 16	 1	 1	0	0	-0.5	4.6	355	77	0.0	7
 16	 1	 2	0	0	-1.6	4.8	35	82	0.0	7
 16	 1	 3	0	0	-2.6	5.1	24	84	0.0	7
 16	 1	 4	0	0	-3.1	3.2	27	85	0.0	6
 16	 1	 5	0	0	-3.7	2.2	186	86	0.0	6
 16	 1	 6	0	0	-4.1	2.5	172	89	0.0	6
 16	 1	 7	0	0	-4.5	3.0	111	93	0.0	6
 16	 1	 8	3	3	-4.4	3.0	172	95	0.0	6
 16	 1	 9	82	134	-1.0	2.8	149	83	0.0	6
 16	 1	 10	99	294	2.9	4.6	108	62	0.0	3
 16	 1	 11	190	393	6.2	4.6	97	48	0.0	5
 16	 1	 12	188	511	9.4	4.8	163	39	0.0	4
 16	 1	 13	209	543	11.7	5.3	175	34	0.0	4
 16	 1	 14	165	549	13.5	3.4	76	31	0.0	3
 16	 1	 15	164	466	14.2	4.1	147	31	0.0	3
 16	 1	 16	90	379	14.2	5.3	191	31	0.0	0
 16	 1	 17	103	209	12.7	4.3	55	37	0.0	5
 16	 1	 18	11	11	9.8	3.2	117	48	0.0	5
 16	 1	 19	0	0	9.1	3.9	177	62	0.0	5
 16	 1	 20	0	0	8.4	3.6	155	69	0.0	5
 16	 1	 21	0	0	7.6	2.4	129	71	0.0	5
 16	 1	 22	0	0	6.9	1.8	193	78	0.0	6
 16	 1	 23	0	0	6.2	2.2	199	82	0.0	6
 16	 1	 24	0	0	5.4	2.4	149	88	0.0	6
 17	 1	 1	0	0	5.1	3.2	169	84	0.0	6
 17	 1	 2	0	0	4.8	3.4	136	86	0.0	7
 17	 1	 3	0	0	4.5	3.9	133	84	0.0	7
 17	 1	 4	0	0	4.4	3.4	96	86	0.0	7
 17	 1	 5	0	0	4.3	2.8	148	90	0.0	7
 17	 1	 6	0	0	4.2	2.4	171	97	0.0	7
 17	 1	 7	0	0	4.2	2.1	157	95	0.0	8
 17	 1	 8	1	1	4.3	2.8	193	93	0.0	8
 17	 1	 9	13	13	4.7	3.6	113	90	0.0	8
 17	 1	 10	30	30	5.2	4.3	80	82	0.0	8
 17	 1	 11	43	43	5.7	2.8	25	80	0.0	8
 17	 1	 12	52	52	6.1	3.6	178	78	0.0	8
 17	 1	 13	71	71	6.6	3.4	70	76	0.0	8
 17	 1	 14	269	447	10.0	4.1	125	64	0.0	6
 17	 1	 15	285	387	12.2	5.6	111	55	0.0	7
 17	 1	 16	208	285	13.2	5.3	356	51	0.0	7
 17	 1	 17	106	160	13.3	5.1	344	50	0.0	6
 17	 1	 18	14	14	12.2	3.9	33	51	0.0	6
 17	 1	 19	0	0	11.3	3.6	82	51	0.0	6
 17	 1	 20	0	0	10.4	2.8	164	53	0.0	6
 17	 1	 21	0	0	9.4	3.2	165	55	0.0	6
 17	 1	 22	0	0	8.5	4.3	126	62	0.0	6
 17	 1	 23	0	0	7.6	4.8	96	64	0.0	6
 17	 1	 24	0	0	6.7	4.8	39	65	0.0	6
 18	 1	 1	0	0	5.4	3.6	50	71	0.0	6
 18	 1	 2	0	0	4.1	2.8	83	76	0.0	6
 18	 1	 3	0	0	2.7	3.6	143	78	0.0	6
 18	 1	 4	0	0	2.0	1.9	153	80	0.0	6
 18	 1	 5	0	0	1.3	1.4	258	83	0.0	6
 18	 1	 6	0	0	0.8	2.1	256	83	0.0	6
 18	 1	 7	0	0	0.3	1.4	175	83	0.0	6
 18	 1	 8	3	3	0.4	2.1	248	84	0.0	6
 18	 1	 9	87	142	3.9	2.4	164	70	0.0	6
 18	 1	 10	86	314	8.0	2.2	164	50	0.0	1
 18	 1	 11	109	461	11.9	3.9	213	39	0.0	0
 18	 1	 12	128	564	15.3	5.7	147	33	0.0	0
 18	 1	 13	121	619	18.0	5.9	6	26	0.0	0
 18	 1	 14	110	603	19.8	5.6	36	24	0.0	0
 18	 1	 15	91	523	20.6	6.0	100	23	0.0	0
 18	 1	 16	75	385	20.4	6.9	6	23	0.0	0
 18	 1	 17	104	215	18.6	6.3	337	25	0.0	5
 18	 1	 18	22	22	15.7	6.3	37	32	0.0	5
 18	 1	 19	0	0	14.4	5.9	326	43	0.0	5
 18	 1	 20	0	0	13.0	6.0	30	47	0.0	5
 18	 1	 21	0	0	11.7	5.9	333	53	0.0	5
 18	 1	 22	0	0	10.4	5.9	9	59	0.0	5
 18	 1	 23	0	0	9.1	6.3	343	63	0.0	5
 18	 1	 24	0	0	7.7	6.2	5	65	0.0	5
 19	 1	 1	0	0	6.7	6.7	326	67	0.0	5
 19	 1	 2	0	0	5.7	5.6	340	74	0.0	5
 19	 1	 3	0	0	4.7	5.3	356	80	0.0	5
 19	 1	 4	0	0	4.2	5.1	48	83	0.0	5
 19	 1	 5	0	0	3.6	5.1	14	86	0.0	5
 19	 1	 6	0	0	3.3	4.6	21	95	0.0	5
 19	 1	 7	0	0	2.9	5.3	13	94	0.0	5
 19	 1	 8	4	4	3.1	5.3	351	93	0.0	5
 19	 1	 9	87	145	6.8	5.7	39	80	0.0	6
 19	 1	 10	66	332	11.3	6.5	352	55	0.0	0
 19	 1	 11	85	482	15.5	6.9	1	44	0.0	0
 19	 1	 12	105	592	19.2	9.0	340	34	0.0	0
 19	 1	 13	140	616	21.9	9.4	17	28	0.0	0
 19	 1	 14	156	568	23.4	8.0	5	25	0.0	2
 19	 1	 15	118	505	24.1	8.0	352	23	0.0	0
