profile_id,duration_steps,total_energy_kwh,load_profile
deferrable_appliance_1_profile_082,2,14.177999999999999,"[3.097,11.081]"
deferrable_appliance_1_profile_083,4,61.244,"[3.088,3.096,43.88,11.18]"
deferrable_appliance_1_profile_084,1,3.345,[3.345]
deferrable_appliance_1_profile_085,3,24.947000000000003,"[3.1109999999999998,10.782,11.054]"
deferrable_appliance_1_profile_086,1,4.703,[4.703]
deferrable_appliance_1_profile_087,1,3.118,[3.118]
deferrable_appliance_1_profile_088,4,87.78500000000001,"[43.547000000000004,18.515,22.631,3.092]"
deferrable_appliance_1_profile_089,1,9.537,[9.537]
deferrable_appliance_1_profile_090,1,12.041,[12.041]
deferrable_appliance_1_profile_091,2,45.49,"[1.2109999999999999,44.279]"
deferrable_appliance_1_profile_092,3,50.425000000000004,"[3.096,44.212,3.117]"
deferrable_appliance_1_profile_093,3,16.408,"[3.507,11.690000000000001,1.2109999999999999]"
deferrable_appliance_1_profile_094,1,3.1420000000000003,[3.1420000000000003]
deferrable_appliance_1_profile_095,3,14.643,"[3.096,8.479000000000001,3.068]"
deferrable_appliance_1_profile_096,2,14.399000000000001,"[11.308,3.091]"
deferrable_appliance_1_profile_097,2,33.125,"[11.08,22.044999999999998]"
deferrable_appliance_1_profile_098,1,17.044999999999998,[17.044999999999998]
deferrable_appliance_1_profile_099,3,57.67,"[19.538,3.068,35.064]"
deferrable_appliance_1_profile_100,1,3.0949999999999998,[3.0949999999999998]
deferrable_appliance_1_profile_101,1,44.516000000000005,[44.516000000000005]
deferrable_appliance_1_profile_102,2,2.4130000000000003,"[1.206,1.207]"
deferrable_appliance_1_profile_103,1,20.142,[20.142]
deferrable_appliance_1_profile_104,2,6.203,"[3.091,3.112]"
deferrable_appliance_1_profile_105,2,16.631999999999998,"[1.212,15.419999999999998]"
deferrable_appliance_1_profile_106,2,6.151,"[3.06,3.091]"
deferrable_appliance_1_profile_107,1,3.085,[3.085]
deferrable_appliance_1_profile_108,2,4.273,"[1.181,3.092]"
deferrable_appliance_1_profile_109,3,23.159000000000002,"[16.974,3.091,3.0940000000000003]"
deferrable_appliance_1_profile_110,2,20.246,"[3.096,17.15]"
deferrable_appliance_1_profile_111,1,11.446,[11.446]
deferrable_appliance_1_profile_112,2,20.175,"[10.031,10.144]"
deferrable_appliance_1_profile_113,2,17.902,"[3.096,14.806000000000001]"
deferrable_appliance_1_profile_114,4,34.431,"[10.184000000000001,3.068,12.251000000000001,8.928]"
deferrable_appliance_1_profile_115,1,3.066,[3.066]
deferrable_appliance_1_profile_116,1,11.242,[11.242]
deferrable_appliance_1_profile_117,1,3.07,[3.07]
deferrable_appliance_1_profile_118,2,20.534,"[3.12,17.413999999999998]"
deferrable_appliance_1_profile_119,2,14.054000000000002,"[10.943000000000001,3.1109999999999998]"
deferrable_appliance_1_profile_120,3,19.706,"[15.4,1.2109999999999999,3.0949999999999998]"
deferrable_appliance_1_profile_121,1,11.647,[11.647]
deferrable_appliance_1_profile_122,2,6.238,"[3.096,3.1420000000000003]"
deferrable_appliance_1_profile_123,1,11.456999999999999,[11.456999999999999]
deferrable_appliance_1_profile_124,2,9.588000000000001,"[8.376000000000001,1.212]"
deferrable_appliance_1_profile_125,1,4.738,[4.738]
deferrable_appliance_1_profile_126,2,2.4219999999999997,"[1.2109999999999999,1.2109999999999999]"
deferrable_appliance_1_profile_127,3,25.451999999999998,"[5.4079999999999995,3.1149999999999998,16.929]"
deferrable_appliance_1_profile_128,2,6.215,"[3.118,3.097]"
deferrable_appliance_1_profile_129,2,13.45,"[3.116,10.334]"
deferrable_appliance_1_profile_130,3,54.516999999999996,"[8.383,3.145,42.989]"
deferrable_appliance_1_profile_131,2,45.09,"[43.88,1.21]"
deferrable_appliance_1_profile_132,2,22.336,"[11.08,11.256]"
deferrable_appliance_1_profile_133,1,3.089,[3.089]
deferrable_appliance_1_profile_134,1,12.761,[12.761]
deferrable_appliance_1_profile_135,1,11.445,[11.445]
deferrable_appliance_1_profile_136,3,7.495,"[3.1870000000000003,3.0949999999999998,1.213]"
deferrable_appliance_1_profile_137,2,14.403,"[11.343,3.06]"
deferrable_appliance_1_profile_138,3,12.695,"[3.936,3.931,4.828]"
deferrable_appliance_1_profile_139,3,48.508,"[3.044,3.091,42.373000000000005]"
deferrable_appliance_1_profile_140,3,15.93,"[1.21,3.1149999999999998,11.605]"
deferrable_appliance_1_profile_141,1,3.116,[3.116]
deferrable_appliance_1_profile_142,3,27.14,"[9.934000000000001,15.995,1.2109999999999999]"
deferrable_appliance_1_profile_143,2,15.073,"[11.352,3.721]"
deferrable_appliance_1_profile_144,2,23.849999999999998,"[20.639,3.211]"
deferrable_appliance_1_profile_145,2,50.400999999999996,"[44.876,5.525]"
deferrable_appliance_1_profile_146,2,25.469,"[20.639,4.83]"
deferrable_appliance_1_profile_147,1,3.113,[3.113]
deferrable_appliance_1_profile_148,1,3.112,[3.112]
deferrable_appliance_1_profile_149,2,39.602999999999994,"[36.513999999999996,3.089]"
deferrable_appliance_1_profile_150,3,34.863,"[3.093,10.025,21.744999999999997]"
deferrable_appliance_1_profile_151,1,3.071,[3.071]
deferrable_appliance_1_profile_152,3,26.094,"[11.476,3.093,11.525]"
deferrable_appliance_1_profile_153,1,23.444,[23.444]
deferrable_appliance_1_profile_154,2,14.653,"[3.097,11.556000000000001]"
deferrable_appliance_1_profile_155,1,11.386,[11.386]
deferrable_appliance_1_profile_156,2,14.54,"[3.0940000000000003,11.446]"
deferrable_appliance_1_profile_157,2,12.383,"[11.199,1.184]"
deferrable_appliance_1_profile_158,4,66.806,"[3.039,3.087,39.061,21.619]"
deferrable_appliance_1_profile_159,1,4.381,[4.381]
deferrable_appliance_1_profile_160,1,14.546000000000001,[14.546000000000001]
deferrable_appliance_1_profile_161,1,37.356,[37.356]
deferrable_appliance_1_profile_162,2,4.281000000000001,"[3.072,1.209]"
deferrable_appliance_1_profile_163,1,6.022,[6.022]
deferrable_appliance_1_profile_164,2,6.872,"[3.755,3.117]"
deferrable_appliance_1_profile_165,1,3.8729999999999998,[3.8729999999999998]
deferrable_appliance_1_profile_166,2,15.270999999999999,"[3.972,11.299]"
deferrable_appliance_1_profile_167,3,9.278,"[3.091,3.096,3.091]"
deferrable_appliance_1_profile_168,1,5.089,[5.089]
deferrable_appliance_1_profile_169,2,9.687,"[1.212,8.475]"
deferrable_appliance_1_profile_170,4,26.5,"[3.116,8.461,3.0949999999999998,11.828]"
deferrable_appliance_1_profile_171,1,1.205,[1.205]
deferrable_appliance_1_profile_172,4,28.427,"[1.2109999999999999,11.361,12.761,3.0940000000000003]"
deferrable_appliance_1_profile_173,1,3.061,[3.061]
deferrable_appliance_1_profile_174,1,1.209,[1.209]
deferrable_appliance_1_profile_175,3,54.678,"[9.532,42.048,3.098]"
deferrable_appliance_1_profile_176,2,9.43,"[8.218,1.212]"
deferrable_appliance_1_profile_177,3,31.369000000000003,"[3.318,20.874000000000002,7.177]"
deferrable_appliance_1_profile_178,1,3.251,[3.251]
deferrable_appliance_1_profile_179,2,4.271,"[3.061,1.21]"
deferrable_appliance_1_profile_180,2,6.1899999999999995,"[3.091,3.0989999999999998]"
deferrable_appliance_1_profile_181,2,10.229,"[5.904999999999999,4.324]"
deferrable_appliance_1_profile_182,3,19.758999999999997,"[4.9719999999999995,11.279,3.508]"
deferrable_appliance_1_profile_183,1,6.0009999999999994,[6.0009999999999994]
deferrable_appliance_1_profile_184,2,2.419,"[1.21,1.209]"
deferrable_appliance_1_profile_185,2,10.280999999999999,"[4.715,5.566]"
deferrable_appliance_1_profile_186,1,10.913,[10.913]
deferrable_appliance_1_profile_187,4,14.718,"[5.4350000000000005,3.0940000000000003,3.092,3.097]"
deferrable_appliance_1_profile_188,3,38.452,"[7.8180000000000005,27.441000000000003,3.193]"
deferrable_appliance_1_profile_189,2,50.04900000000001,"[5.837,44.212]"
deferrable_appliance_1_profile_190,1,16.591,[16.591]
deferrable_appliance_1_profile_191,1,11.203,[11.203]
deferrable_appliance_1_profile_192,2,46.76,"[8.134,38.626]"
deferrable_appliance_1_profile_193,1,3.189,[3.189]
deferrable_appliance_1_profile_194,2,14.396,"[11.329,3.067]"
deferrable_appliance_1_profile_195,3,14.635000000000002,"[8.475,3.072,3.088]"
deferrable_appliance_1_profile_196,1,4.385,[4.385]
deferrable_appliance_1_profile_197,1,18.538,[18.538]
deferrable_appliance_1_profile_198,2,6.203,"[3.016,3.1870000000000003]"
deferrable_appliance_1_profile_199,3,48.058,"[3.096,3.096,41.866]"
deferrable_appliance_1_profile_200,1,3.144,[3.144]
deferrable_appliance_1_profile_201,1,5.521,[5.521]
deferrable_appliance_1_profile_202,1,1.213,[1.213]
deferrable_appliance_1_profile_203,2,20.515,"[16.452,4.063000000000001]"
deferrable_appliance_1_profile_204,1,3.038,[3.038]
deferrable_appliance_1_profile_205,3,21.535,"[11.478,3.322,6.734999999999999]"
deferrable_appliance_1_profile_206,1,8.031,[8.031]
deferrable_appliance_1_profile_207,3,26.804,"[11.388,10.262,5.154]"
deferrable_appliance_1_profile_208,2,46.964000000000006,"[43.867000000000004,3.097]"
deferrable_appliance_1_profile_209,2,27.922,"[3.0940000000000003,24.828]"
deferrable_appliance_1_profile_210,1,11.61,[11.61]
deferrable_appliance_1_profile_211,4,33.188,"[15.413,3.116,3.7159999999999997,10.943000000000001]"
deferrable_appliance_1_profile_212,2,6.1899999999999995,"[3.0949999999999998,3.0949999999999998]"
deferrable_appliance_1_profile_213,2,6.132,"[3.039,3.093]"
deferrable_appliance_1_profile_214,2,54.26700000000001,"[9.751000000000001,44.516000000000005]"
deferrable_appliance_1_profile_215,2,6.131,"[3.065,3.066]"
deferrable_appliance_1_profile_216,1,11.689,[11.689]
deferrable_appliance_1_profile_217,3,85.619,"[3.092,38.706,43.821]"
deferrable_appliance_1_profile_218,4,19.711,"[7.436,3.071,3.093,6.111]"
deferrable_appliance_1_profile_219,1,8.468,[8.468]
deferrable_appliance_1_profile_220,1,8.043000000000001,[8.043000000000001]
deferrable_appliance_1_profile_221,3,52.77400000000001,"[28.297000000000004,3.95,20.527]"
deferrable_appliance_1_profile_222,4,31.842999999999996,"[11.488,3.072,3.0949999999999998,14.187999999999999]"
deferrable_appliance_1_profile_223,3,16.483,"[5.567,9.706,1.21]"
deferrable_appliance_1_profile_224,2,19.971,"[9.907,10.064]"
deferrable_appliance_1_profile_225,4,23.15,"[3.0829999999999997,9.961,1.2109999999999999,8.895]"
deferrable_appliance_1_profile_226,3,33.35,"[25.153,5.114,3.0829999999999997]"
deferrable_appliance_1_profile_227,2,54.73100000000001,"[10.215,44.516000000000005]"
deferrable_appliance_1_profile_228,2,16.919999999999998,"[3.092,13.828]"
deferrable_appliance_1_profile_229,3,72.174,"[20.015,8.442,43.717]"
deferrable_appliance_1_profile_230,1,11.270999999999999,[11.270999999999999]
deferrable_appliance_1_profile_231,1,3.097,[3.097]
deferrable_appliance_1_profile_232,1,3.09,[3.09]
deferrable_appliance_1_profile_233,4,63.757,"[1.207,44.156,1.2109999999999999,17.183]"
deferrable_appliance_1_profile_234,2,4.398,"[1.208,3.19]"
deferrable_appliance_1_profile_235,2,22.586999999999996,"[14.550999999999998,8.036]"
deferrable_appliance_1_profile_236,2,31.566,"[17.044999999999998,14.521]"
deferrable_appliance_1_profile_237,1,9.587,[9.587]
deferrable_appliance_1_profile_238,1,11.437000000000001,[11.437000000000001]
deferrable_appliance_1_profile_239,1,3.122,[3.122]
deferrable_appliance_1_profile_240,2,6.186,"[3.068,3.118]"
deferrable_appliance_1_profile_241,3,53.196,"[3.997,11.397,37.802]"
deferrable_appliance_1_profile_242,2,26.700000000000003,"[10.048,16.652]"
deferrable_appliance_1_profile_243,3,13.859,"[11.466,1.2109999999999999,1.182]"
deferrable_appliance_1_profile_244,3,42.724,"[3.117,3.093,36.513999999999996]"
deferrable_appliance_1_profile_245,2,20.09,"[3.1399999999999997,16.95]"
deferrable_appliance_1_profile_246,1,5.512,[5.512]
deferrable_appliance_1_profile_247,1,10.234,[10.234]
deferrable_appliance_1_profile_248,2,54.446,"[9.613,44.833]"
deferrable_appliance_1_profile_249,1,13.697999999999999,[13.697999999999999]
deferrable_appliance_1_profile_250,4,50.629,"[3.092,6.7989999999999995,1.213,39.525]"
deferrable_appliance_1_profile_251,1,8.376000000000001,[8.376000000000001]
deferrable_appliance_1_profile_252,1,35.064,[35.064]
deferrable_appliance_1_profile_253,2,47.886,"[44.741,3.145]"
deferrable_appliance_1_profile_254,4,101.15,"[42.814,43.775999999999996,11.446,3.114]"
deferrable_appliance_1_profile_255,2,17.633000000000003,"[3.093,14.540000000000001]"
deferrable_appliance_1_profile_256,2,38.032,"[1.2109999999999999,36.821]"
deferrable_appliance_1_profile_257,4,67.349,"[46.283,3.168,6.151,11.747]"
deferrable_appliance_1_profile_258,1,3.761,[3.761]
deferrable_appliance_1_profile_259,2,12.852,"[9.737,3.1149999999999998]"
deferrable_appliance_1_profile_260,1,6.578,[6.578]
deferrable_appliance_1_profile_261,1,11.348,[11.348]
deferrable_appliance_1_profile_262,2,14.334,"[3.091,11.243]"
deferrable_appliance_1_profile_263,1,9.639,[9.639]
deferrable_appliance_1_profile_264,3,31.581,"[11.296,3.093,17.192]"
deferrable_appliance_1_profile_265,3,20.75,"[3.058,3.096,14.596]"
deferrable_appliance_1_profile_266,2,4.272,"[1.212,3.06]"
deferrable_appliance_1_profile_267,3,59.24700000000001,"[3.116,41.754000000000005,14.377]"
deferrable_appliance_1_profile_268,1,20.941,[20.941]
deferrable_appliance_1_profile_269,1,11.554,[11.554]
deferrable_appliance_1_profile_270,3,25.778999999999996,"[11.370999999999999,3.5189999999999997,10.889]"
deferrable_appliance_1_profile_271,1,3.119,[3.119]
deferrable_appliance_1_profile_272,1,11.488,[11.488]
deferrable_appliance_1_profile_273,2,34.218,"[29.481,4.737]"
deferrable_appliance_1_profile_274,1,3.4869999999999997,[3.4869999999999997]
deferrable_appliance_1_profile_275,1,15.459,[15.459]
deferrable_appliance_1_profile_276,2,2.421,"[1.2109999999999999,1.21]"
deferrable_appliance_1_profile_277,1,9.845,[9.845]
deferrable_appliance_1_profile_278,2,12.577,"[11.365,1.212]"
deferrable_appliance_1_profile_279,3,43.79900000000001,"[29.23,11.476,3.093]"
deferrable_appliance_1_profile_280,1,10.178,[10.178]
deferrable_appliance_1_profile_281,3,7.396,"[3.067,1.212,3.117]"
deferrable_appliance_1_profile_282,1,8.114,[8.114]
deferrable_appliance_1_profile_283,2,6.186,"[3.122,3.064]"
deferrable_appliance_1_profile_284,2,14.224,"[11.14,3.084]"
deferrable_appliance_1_profile_285,2,19.944,"[8.402,11.542]"
deferrable_appliance_1_profile_286,1,39.087,[39.087]
deferrable_appliance_1_profile_287,1,11.556000000000001,[11.556000000000001]
deferrable_appliance_1_profile_288,1,42.325,[42.325]
deferrable_appliance_1_profile_289,2,21.701,"[12.073,9.628]"
deferrable_appliance_1_profile_290,2,53.894000000000005,"[42.487,11.407]"
deferrable_appliance_1_profile_291,3,17.602,"[10.782,3.7270000000000003,3.093]"
deferrable_appliance_1_profile_292,2,46.447,"[3.122,43.325]"
deferrable_appliance_1_profile_293,3,8.141,"[3.839,1.21,3.092]"
deferrable_appliance_1_profile_294,1,5.909000000000001,[5.909000000000001]
deferrable_appliance_1_profile_295,1,10.251999999999999,[10.251999999999999]
deferrable_appliance_1_profile_296,2,4.529,"[3.318,1.2109999999999999]"
deferrable_appliance_1_profile_297,2,10.838000000000001,"[7.718000000000001,3.12]"
deferrable_appliance_1_profile_298,3,71.614,"[17.698,42.579,11.337]"
deferrable_appliance_1_profile_299,2,15.741,"[10.159,5.582]"
deferrable_appliance_1_profile_300,2,23.14,"[13.521,9.619]"
deferrable_appliance_1_profile_301,2,6.136,"[3.065,3.071]"
deferrable_appliance_1_profile_302,4,12.395,"[3.112,3.093,3.096,3.0940000000000003]"
deferrable_appliance_1_profile_303,3,11.702,"[3.112,3.065,5.525]"
deferrable_appliance_1_profile_304,2,6.954000000000001,"[3.097,3.857]"
deferrable_appliance_1_profile_305,1,15.722999999999999,[15.722999999999999]
deferrable_appliance_1_profile_306,1,21.969,[21.969]
deferrable_appliance_1_profile_307,1,4.3340000000000005,[4.3340000000000005]
deferrable_appliance_1_profile_308,2,14.797,"[3.508,11.289]"
deferrable_appliance_1_profile_309,2,6.197,"[3.1,3.097]"
deferrable_appliance_1_profile_310,1,4.223,[4.223]
deferrable_appliance_1_profile_311,1,13.552000000000001,[13.552000000000001]
deferrable_appliance_1_profile_312,1,5.386,[5.386]
deferrable_appliance_1_profile_313,2,28.834,"[17.631,11.203]"
deferrable_appliance_1_profile_314,2,41.438,"[36.735,4.703]"
deferrable_appliance_1_profile_315,2,4.318,"[1.206,3.112]"
