cycle_id,profile_id,earliest_start_time_step,latest_start_time_step,deadline_time_step,priority,must_run
deferrable_appliance_18_1_cycle_0049,deferrable_appliance_18_1_profile_049,2161,2162,2162,1.0,True
deferrable_appliance_18_1_cycle_0050,deferrable_appliance_18_1_profile_050,2185,2188,2188,1.0,True
deferrable_appliance_18_1_cycle_0051,deferrable_appliance_18_1_profile_051,2209,2213,2216,1.0,True
deferrable_appliance_18_1_cycle_0052,deferrable_appliance_18_1_profile_052,2233,2236,2236,1.0,True
deferrable_appliance_18_1_cycle_0053,deferrable_appliance_18_1_profile_053,2257,2259,2259,1.0,True
deferrable_appliance_18_1_cycle_0054,deferrable_appliance_18_1_profile_054,2281,2284,2285,1.0,True
deferrable_appliance_18_1_cycle_0055,deferrable_appliance_18_1_profile_055,2305,2306,2306,1.0,True
deferrable_appliance_18_1_cycle_0056,deferrable_appliance_18_1_profile_056,2330,2333,2335,1.0,True
deferrable_appliance_18_1_cycle_0057,deferrable_appliance_18_1_profile_057,2353,2356,2358,1.0,True
deferrable_appliance_18_1_cycle_0058,deferrable_appliance_18_1_profile_058,2377,2380,2380,1.0,True
deferrable_appliance_18_1_cycle_0059,deferrable_appliance_18_1_profile_059,2401,2405,2407,1.0,True
deferrable_appliance_18_1_cycle_0060,deferrable_appliance_18_1_profile_060,2425,2427,2428,1.0,True
deferrable_appliance_18_1_cycle_0061,deferrable_appliance_18_1_profile_061,2449,2452,2453,1.0,True
deferrable_appliance_18_1_cycle_0062,deferrable_appliance_18_1_profile_062,2473,2474,2474,1.0,True
deferrable_appliance_18_1_cycle_0063,deferrable_appliance_18_1_profile_050,2497,2500,2500,1.0,True
deferrable_appliance_18_1_cycle_0064,deferrable_appliance_18_1_profile_055,2521,2525,2525,1.0,True
deferrable_appliance_18_1_cycle_0065,deferrable_appliance_18_1_profile_063,2546,2550,2552,1.0,True
deferrable_appliance_18_1_cycle_0066,deferrable_appliance_18_1_profile_064,2569,2570,2570,1.0,True
deferrable_appliance_18_1_cycle_0067,deferrable_appliance_18_1_profile_065,2593,2594,2594,1.0,True
deferrable_appliance_18_1_cycle_0068,deferrable_appliance_18_1_profile_066,2617,2619,2620,1.0,True
deferrable_appliance_18_1_cycle_0069,deferrable_appliance_18_1_profile_067,2641,2642,2642,1.0,True
deferrable_appliance_18_1_cycle_0070,deferrable_appliance_18_1_profile_068,2665,2667,2668,1.0,True
deferrable_appliance_18_1_cycle_0071,deferrable_appliance_18_1_profile_069,2689,2692,2693,1.0,True
deferrable_appliance_18_1_cycle_0072,deferrable_appliance_18_1_profile_070,2713,2715,2716,1.0,True
deferrable_appliance_18_1_cycle_0073,deferrable_appliance_18_1_profile_071,2737,2740,2740,1.0,True
deferrable_appliance_18_1_cycle_0074,deferrable_appliance_18_1_profile_064,2762,2763,2763,1.0,True
deferrable_appliance_18_1_cycle_0075,deferrable_appliance_18_1_profile_072,2788,2792,2793,1.0,True
deferrable_appliance_18_1_cycle_0076,deferrable_appliance_18_1_profile_073,2809,2812,2814,1.0,True
deferrable_appliance_18_1_cycle_0077,deferrable_appliance_18_1_profile_046,2833,2835,2835,1.0,True
deferrable_appliance_18_1_cycle_0078,deferrable_appliance_18_1_profile_074,2857,2859,2860,1.0,True
deferrable_appliance_18_1_cycle_0079,deferrable_appliance_18_1_profile_022,2883,2884,2884,1.0,True
deferrable_appliance_18_1_cycle_0080,deferrable_appliance_18_1_profile_075,2905,2907,2907,1.0,True
deferrable_appliance_18_1_cycle_0081,deferrable_appliance_18_1_profile_076,2929,2933,2934,1.0,True
deferrable_appliance_18_1_cycle_0082,deferrable_appliance_18_1_profile_077,2953,2956,2957,1.0,True
deferrable_appliance_18_1_cycle_0083,deferrable_appliance_18_1_profile_078,2977,2981,2984,1.0,True
deferrable_appliance_18_1_cycle_0084,deferrable_appliance_18_1_profile_003,3002,3004,3004,1.0,True
deferrable_appliance_18_1_cycle_0085,deferrable_appliance_18_1_profile_079,3025,3027,3027,1.0,True
deferrable_appliance_18_1_cycle_0086,deferrable_appliance_18_1_profile_080,3050,3052,3052,1.0,True
deferrable_appliance_18_1_cycle_0087,deferrable_appliance_18_1_profile_081,3073,3074,3074,1.0,True
deferrable_appliance_18_1_cycle_0088,deferrable_appliance_18_1_profile_082,3097,3101,3102,1.0,True
deferrable_appliance_18_1_cycle_0089,deferrable_appliance_18_1_profile_083,3121,3125,3126,1.0,True
deferrable_appliance_18_1_cycle_0090,deferrable_appliance_18_1_profile_084,3145,3149,3151,1.0,True
deferrable_appliance_18_1_cycle_0091,deferrable_appliance_18_1_profile_085,3169,3170,3170,1.0,True
deferrable_appliance_18_1_cycle_0092,deferrable_appliance_18_1_profile_004,3193,3195,3195,1.0,True
